file,reference,locality,condition,source
01-11496-02,अंत में समाचार खेल जगत से एशियाई खेल अंकिता के कांस्य के बाद भारत,N/A,telephony,gramvaani
02-12399-02,नमस्कार आदाब श्रोताओं देश के कौन कौन से किसान मज़दूर यूनियन काफ़ी संख्या में इकठ्ठा होकर सरकार से अपनी माँगों को लेकर दिल्ली के पार्लियामेंट स्ट्रीट में धरना,N/A,telephony,gramvaani
01-09796-02,का एलान भारत और इंग्लैंड के बीच नौ अगस्त से लॉर्ड्स में खेले जाने वाले वाले दूसरे टेस्ट मैच के लिए गयी है एक वेस्टर्न टेस्ट में इंग्लैंड ने भारत को इकतीस रन,N/A,telephony,gramvaani
01-07562-01,आवश्यक है है किन्तु नियोजित शिक्षको की मामले में न्यूनतम वेतन अठारह हजार लागू नहीं किया गया है जिसके लिए,N/A,telephony,gramvaani
01-04320-03,मुंगेर नगर निगम की बदहाली व्यवस्था के कारण शहर वासियों को शुद्ध पेय जल नहीं मिल रहा है नगर निगम के साथ संचालित कस्तुरबा वॉटर वर्क्स,N/A,telephony,gramvaani
01-08017-03,के बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में इनका आ आरक्षण मिले और उसका विकास हो आने वाले दिन में,N/A,telephony,gramvaani
01-10457-02,इस देश के कई भाग से हैं जहाँ सिंचाई सुविधा के आभाव मैं बारिश पर निर्भर रहते हैं अगर बारिश समय पर नहीं हुए तो सारा फसल बर्बाद अब ऐसे मैं किसान करे तो क्या करे,N/A,telephony,gramvaani
02-14905-01,श्री पावन भगत अशोक केसरी पवन केसरी विजय मिश्रा उदय लाहाकर प्रवीन मिश्रा मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य मौजुद वही बताते चले की मोबाइल वाणी के द्वारा ही,N/A,telephony,gramvaani
02-17467-01,मोबाइल वाणी के बेहद लोकप्रिय और ख़ास कार्यक्रम खबरें जरा हट के में आपका स्वागत है,N/A,telephony,gramvaani
01-00097-03,इस मध्य प्रदेश मोबाइल वाणी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं धन्यवाद नमस्कार,N/A,telephony,gramvaani
02-13426-02,आँगनबाड़ी सहायिकाओं को पन्द्रह सौ रूपए के स्थान पर बाईस सौ सौ पचास रूपए मिलेंगे और अब ख़बर खेल जगत से कुछ देर में शुरू होगा पाँचवें दिन दिन का खेल शाख बचाने को उतरेगी टीम इंडिया ख़बर है नई दिल्ली से,N/A,telephony,gramvaani
02-14654-01,याद है की मनरेगा में लंबित मजदूरी भुगतान नहीं होने के सम्बन्ध में शिकायतें प्राप्त हो रही थी राज्य शासन द्वारा शिकायतों के निराकरण के लिए ग्राम पंचायतों में कलस्टर,N/A,telephony,gramvaani
01-03123-03,फ़िलहाल जारी अधिकतम तापमान का ट्रेंड गेहूं और दलहन का  यदि तापमान का रुख ऐसा ही जारी रहा,N/A,telephony,gramvaani
02-12354-02,तिलका मांझी भागलपुर विश्वविद्यालय प्रशासन ने बी ए फर्स्ट इयर दो हज़ार सतरह उन्नीस का परीक्षा कार्यक्रम घोषित कर दिया है परीक्षा दूसरी पाली में दो बजे,N/A,telephony,gramvaani
01-07629-02,और पछताना नहीं पड़ता है बहुत से ऐसे गाँव के विद्यार्थी को मैंने देखा है की कई,N/A,telephony,gramvaani
01-06461-03,मुंगेर प्रखंड क्षेत्र में बिजली के लिए हाहाकार मचा हुआ है चौबीस घंटे में से मात्र आठ से बारह घंटे तक भी बिजली नहीं मिलती है,N/A,telephony,gramvaani
13-00159-01,विरोधियों के बीच होने वाले इस मैच की तारीख से नाराज़ है बी सी सी ज है बी सी सी आई ने एशिया कप के कार्यक्रम में भारत और पाकिस्तान के मैच की मैच की तारीख पर आपत्ति जताई है,N/A,telephony,gramvaani
01-03050-02,मैं राजीव कुमार ठाकुर जिला मुंगेर मुंगेर की आवाज़ से बाबा धरमदास मंदिर के निर्माण समिति द्वारा संकल्प दिवस का आयोजन,N/A,telephony,gramvaani
01-04208-01,एक राज्य की छवि छवि खराब करने की ही और दूसरी राज्य को अपने शिक्षा व्यवस्था को ज्यादा गंभीरता से लेने के लिए बाध्य करने की करने की बिहार बोर्ड की परीक्षा में अभिभावकों द्वारा खुलेआम नकल कराने की तस्वीर दुनिया भर में चर्चित हुई थी,N/A,telephony,gramvaani
02-21289-01,डेढ़ साल पहले ही हम शादी के बंधन में बंधे है इस घर के इकलौते बेटे होने के नाते बचपन से ही सबके लाड प्यार ने इन्हे बिगाड़ रखा है रखा है सुबह से शाम ये अपने काम पर रहते है,N/A,telephony,gramvaani
02-13499-02,मोदी सरकार ने आशा कार्यकर्ताओं का भत्ता दो गुना किया प्रधानमंत्री बीमा भी मुफ्त मिलेगा,N/A,telephony,gramvaani
01-06401-03,लगभग तीन तीन सौ की आबादी वाले बरवाडीह गाँव ना एक कुआँ ना तालाब है नहाने के लिए यहाँ के लोगो को करीब डेढ़ किलोमीटर की दूरी तय कर,N/A,telephony,gramvaani
01-02125-02,नमस्कार श्रोता मित्रों मेट्रिक की परीक्षा की शुरुआत शांतिपूर्ण तैतालिस परीक्षार्थी अनुपस्थित रहे मैं जेएम रंगीला कोऑर्डिनेटर बोकारो से झारखण्ड मोबाइल वाणी,N/A,telephony,gramvaani
01-01990-01,लेकिन वहाँ पर नीचे उतारने का भी अभी तक कोई रास्ता नहीं गया है वहाँ पर बहुत झाड़ झुड़ रहता है इसलिए मैं ग्राम वाणी के द्वारा सरकार से अनुरोध करना चाहता हूँ,N/A,telephony,gramvaani
01-07043-02,पुनः एक बार सहायता की की जाए धन्य धन्यवाद,N/A,telephony,gramvaani
01-02028-02,उम्मीदवार होगी जिसे आम जन सामाजिक कार्यकर्ता कम और और राजनीती के रूप में अधिक जानेंगे इसमें कोई शक नहीं मैं राधू राय,N/A,telephony,gramvaani
01-06650-01,डालडा जो होता है उसमे आलू का मिश्रण मिश्रण हो रहा है तेल भी आज कल दोस्तों कोई खास ऑरिजनल नहीं आ रहा है तो आप और आपके परिवार प्लस आप आपके व्यवहारी,N/A,telephony,gramvaani
02-16456-01,है एक वरिष्ट सरकारी अधिकारी ने बताया कि ये योजनायें सरकारी हो सकती हैं पेंशन बीमा और भविष्य निधि के क्षेत्रों में निजी खिलाडियों का संचालन कर सकती है,N/A,telephony,gramvaani
01-06529-02,मैं ये वन प्रबंधन पदाधिकारी हजारीबाग से ये कहना चाहता हूँ की आप नक्शा पास केंद्र में गड्ढे नाले जहाँ भी हों वहाँ गड्ढा खोद कर के सारे,N/A,telephony,gramvaani
01-10685-03,नया टाइम टेबल लागू किया है रतलाम रेल मंडल पर चलने वाली उनतीस उनतीस गाड़ियों की गति को बढ़ाया गया है है रतलाम मंडल से होकर जाने वाली कुल पैसठ गाड़ियों की,N/A,telephony,gramvaani
01-05003-02,के नेता को कभी अकेले तो कभी संदिग्ध रूप से सत्ता मिला लेकिन जनता की कसौटी पर कोई भी खड़ा नहीं उतर नहीं उतर सका यही सबसे बड़ी चिंता की बात है,N/A,telephony,gramvaani
01-00960-03,की जाती है परन्तु कं पुतना ने जब कृष्ण को अपना दुध पिला रहे थे मारने के लिए तब ही भगवान कृष्ण चमत्कार दिखाया की साथ साथ जो है की उनका,N/A,telephony,gramvaani
02-12750-02,नमस्कार श्रोताओं मैं सुनिधि लेकर आई हूँ बिहार मोबाइल वाणी पर शाम,N/A,telephony,gramvaani
01-08134-02,परीक्षा नौ अगस्त को खबर है नई दिल्ली से रेलवे ने सहायक लोको तकनीशियनों की की छबीस हजार पाँच सौ दो नियुक्तियों के लिए परीक्षा की तारीख नौ,N/A,telephony,gramvaani
01-09492-02,की है रूट लाइन व कतार के,N/A,telephony,gramvaani
01-02482-01,जयनगर अनुमंडल क्षेत्र से सुरेश कुमार गुप्ता जयनगर,N/A,telephony,gramvaani
02-19405-01,होता ई है कि एस एस जी चूकि महिलाओं का समूह है तो तुम्हारी मेहरारू को,N/A,telephony,gramvaani
01-06986-01,सब्जियों की दुकाने फलों फलों के ठेले और तरह तरह के ठेलों की यातायात को बाध्य कई जगहों पर सड़क किनारे लोगों ने घर बना लिया हैं उनके लिए सड़क ही आंगन बन जाता हैं,N/A,telephony,gramvaani
01-01715-03,ये सुनना मैं बहुत पसंद करता हूँ मेरी जीवन में बदलाव की श्रण आती रहती है इसी के साथ में ये सन्देश देना चाहता हूँ बिहार मोबाइल वाणी के साथ,N/A,telephony,gramvaani
01-09945-03,अगर आपके आस पास या आपका क्षेत्रों में भी कुछ ऐसी ही खबरें हैं हैं जो ज़रा हटके हैं हैं तो हमें ज़रूर बताएं अपने मोबाइल में नंबर तीन दबा कर कर और साथ ही इसका,N/A,telephony,gramvaani
01-05555-02,किसानों को यह जानकारी किसान पाठशाला लगाकर उपलब्ध कराई जाए की जानकारी प्रखंड पीसी ने बताया की ये कार्यक्रम  में चलाया जायेगा जिसके लिए चयन की प्रक्रि प्रक्रिया अंतिम चरण उन्होंने बताया की चयनित,N/A,telephony,gramvaani
02-15827-01,सहकारी मुखिया सिकंदर  दिवाकर महतो उमेश कुमार चौबे चौबे मिथिलेश महाराज विनीत जैसवाल सोहेल अंसारी ने,N/A,telephony,gramvaani
01-11055-03,कि कोई भी परेशानी होने पर आम लोग उनसे सीधा संपर्क कर सकते हैं एवं उनका हर मदद किया जाएगा इस कार्यक्रम को लेकर वहाँ उपस्थित लोगों के बीच,N/A,telephony,gramvaani
01-10891-03,सरकारी विमान कंपनी एयर इंडिया के पायलटों के  अपने उड़ान भत्तों के बकायें का तत्काल भुगतान नहीं होने पर परिचालन पायलटों का कहना है कि अन्य कर्मचारियों के वेतन और भत्तों का देर से ही सही लेकिन पूरा भुगतान हो रहा हैं,N/A,telephony,gramvaani
02-18071-01,हम लोगों को वेतन नहीं दिया जा रहा हैं इधर जिस आवास में हम लोग रहते हैं उस उसके मालिक को भी कंपनी की और से से ताला बंद करने का फरमान दिया गया है,N/A,telephony,gramvaani
02-17099-01,मै रजनी कुमार सिंह जमुई से सोमवार को जिला परिषद की सामान्य बैठक अध्यक्ष व उपाध्यक्ष की,N/A,telephony,gramvaani
01-06730-01,है काफी प्रदूषण को लेकर आम लोगों को भी को भी जागरूक होने जरुरत है अन्यथा एक ऐसा समय आएगा जब प्रदूषण के दूषण के कारण जीवन  धन्यवाद,N/A,telephony,gramvaani
01-10262-03,उद्देश्य है तभी तो इसमें सरकारी खर्च कल्याणकारी योजनाओं का चयन उनकी योजना का निष्पादन के तरीके और अनुवर्ती तरीके की लिए बहुत सारी विधियाँ होंगी,N/A,telephony,gramvaani
01-03753-01,ग्राम पंचायत द्वारा प पानी की कोई सुविधा नहीं की जा रही है है यदि दि ग्राम पंचायत त द्वारा प पानी की कुछ की गयी है है तो,N/A,telephony,gramvaani
01-01568-03,और गुप्त रूप से छापामारी कर कार्रवाई करने का मापदंड अपनाने चाहिए मैं तेजनरायण ब्रह्मर्षि शान्ति प्रेरक की ओर से बिहार मोबाइल वाणी के लिए मधुबनी से से धन्यवाद,N/A,telephony,gramvaani
01-00990-03,दो महिना बीत जाने के बाद भी पोषाहार जो आंगनबाड़ी केन्द्रों धातृ माता बच्चों को दिया जाना है वो नहीं दी गई मैं झारखण्ड मोबाइल वाणी के माध्यम से,N/A,telephony,gramvaani
01-11618-03,इस मौके पर कम्युनिटी के सदस्य अद्या अमित कुमार भगत संपन गुप्ता सचिन नवीन बर्णवाल महासचिव सजन गुप्ता कोषाध्यक्ष मुन्ना केसरी प्रवीण मिश्रा राजेश मिश्रा भूपेश सिन्हा,N/A,telephony,gramvaani
01-04428-03,सात प्रखंड कार्यालय में आधार कार्ड बनाने के लिए आयोजित तीन दिवसीय शिविर आज गुरुवार को समापन हो गया तीसरे और अंतिम दिन आधार कार्ड बनाने के लिए लोगो की काफी काफी भीड़ उमड़ पड़ी थी,N/A,telephony,gramvaani
02-13646-02,नमस्कार दोस्तों गिद्धौर मोबाइल वाणी से मैं संजीवन कुमार सिंह सुहागिन महिलाओं ने पति के दीर्घआयु के लिए आज रखा है निर्जला उपवास पति के दीर्घ आयु के लिए सुहागिन महिलाओं ने,N/A,telephony,gramvaani
01-05501-03,देख छप्पन इंच का सीना आतंकवादियों को आया पसीना कह रहा है हिन्दू हिंदुस्तान सुधर जाओ रे पाकिस्तान,N/A,telephony,gramvaani
01-01738-02,भ्रष्टाचार शिष्टाचार बन गया है सभी जगह घूसखोरी निगरानी द्वारा उसी को पकड़ा जा रहा है जिस पर कोई पब्लिक पड़ गए हो और उसे पकड़वाया हो,N/A,telephony,gramvaani
02-16847-01,हाथुडीह को मिलेगा जल संकट से निजात चलेगा तालाब जोड़ो अभियान खबर है महुदा से अगर सब कुछ योजनाबद्ध तरीके से हुआ तो तो शीघ्र ही हाथुडीह पंचायत के लोगों,N/A,telephony,gramvaani
13-00315-05,विधायक सांसद जाना तय होगा,N/A,telephony,gramvaani
02-17346-01,के अध्यक्षता में संपन्न मंत्री परिषद की बैठक के बैठक के बाद पत्रकारों को सम्बोधित करते हुए मंत्रिमंडल सचिवालय विभाग के प्रधान सचिव,N/A,telephony,gramvaani
01-02106-02,और वे लोग भी अपनी मर्जी से तो एक दू महीना सब्जी बेचतें फिर अपने घर के पालन पोषण के लिए दूसरी जगह मजदूरी के लिए पलायन करते हैं,N/A,telephony,gramvaani
02-21859-01,तब तक आप सुनते रहिये हँसी की डोली कार्यक्रम आपके अपने मोबाइल वाणी पर अगर आपको हमारी खट्टी मीठी बातें दोस्तों और परिवार वालो को भी सुनाये,N/A,telephony,gramvaani
02-22739-01,गुड़िया के लिए शायद वो आगे जानेंगे की माजी के बातों का का हमारे पति पर कितना असर पड़ता है हमारे पति हमारा साथ देंगे तब तक के लिए आप हमें बताइये,N/A,telephony,gramvaani
01-08047-01,अधिकार की जानकारी दे तथा महिलाएं किसी भी अधिकार पर बहुत कम ही महिलायें भागीदारी ले पाती है क्योकि पंचायत की अधिकतर महिलाएं अशिक्षित होती,N/A,telephony,gramvaani
01-11183-02,है जो जोकि चौथी पारी में असंभव बताया जा रहा है इंग्लैंड ने दिन का खेल ख़त्म होने तक बिना किसी नुकसान के तेईस रन बना लिए हैं,N/A,telephony,gramvaani
02-16015-01,की मदद से अफ़ग़ानिस्तान ने लचर शुरुआत से उबरकर बांग्लादेश के खिलाफ एशियाई कप,N/A,telephony,gramvaani
01-06755-01,मैं राधु राय धनबाद मोबाइल मीडिया महुदा झारखंड से लव कुश योजना अधर में लटका चिलचिलाती धुप गर्म हवा गर्मी छियालीस डिग्री पर आम जन प्यासे और पशु पक्षी प्यास के मारे बेहाल पानी की खोज में दूर दूर तक भटक रहे,N/A,telephony,gramvaani
01-03176-02,जाने वाले रोड का पक्कीकरण व सौन्दर्यकरण किया जाएगा मौके पर आदिवासी विकास मंच के प्रवक्ता उमित सोरेन,N/A,telephony,gramvaani
01-06865-02,बजे तो सुनना न भूलें लें जनता की रिपोर्ट हर शाम पाँच बजे बजे आपके मोबाइल वाणी पर ध धन्यवाद,N/A,telephony,gramvaani
01-06596-02,किसानो को बोनस नहीं दी दी इस तरह बिहार के किसानो किसानो की आर्थिक स्थिति स्थिति अन्य राज्यों की तुलना में काफी दयनीय है इसके लिए यह सरकार काफी जिम्मेवार है धन्यवाद,N/A,telephony,gramvaani
01-04132-03,वन डब ऐट डबल जीरो द्वारा सोलह मार्च दो हजार सोलह को अनुसूचित जाती का प्रमाणपत्र हासिल कर चुनाव में आरक्षण का फायदा ले लिया श्री,N/A,telephony,gramvaani
01-11742-01,कर्मचारी राज्य बीमा योजना ना तथा एन पी एस के पास नए सदस्यों के नामांकन पर आधारित हैं हैं रिपोर्ट के अनुसार सितम्बर दो हज़ार सतरह से,N/A,telephony,gramvaani
01-05071-03,एक ऐसा कुछ अधिकर्मियों की गलती मान लो चाहे कुछ किसानों की गलती मान लो तो जरूरी नहीं है कि पूरे मध्य प्रदेश में हमारे सभी किसानों ने बीमा,N/A,telephony,gramvaani
13-00272-06,में की बोली गयी है कि बारह बजे दिन से से दो बजे तक ही ताजिया,N/A,telephony,gramvaani
01-12107-01,ने छात्र को को इस आधार पर अनुमति दी है कि उसने दो हज़ार अठारह रा राष्ट्रीय पात्रता एवं प्रवेश परीक्षा क्षा असक्षम लोगों के वर्ग में पास की है,N/A,telephony,gramvaani
01-11453-01,रेलवे में गेट मैन के लिए एक हज़ार चार सौ उनासी पदों के लिए करें अप्लाई ख़बर है पटना से पूर्व मध्य रेल ने एक हज़ार चार सौ उनासी पदों के लिए,N/A,telephony,gramvaani
01-01599-03,की बहुत सी तरह की बीमारियाँ जो उत्प्न्न होती हैं जो की किसान भाई लोग काफ़ी दुःख छूटे हुए हैं और ऐसे ही मतलब बहुत सारे किसान हैं लेकिन फिर भी ये उर्वरक हमेशा डालतें हैं और आज तक हमारी झारखण्ड सरकार हैं की कुछ,N/A,telephony,gramvaani
01-10772-03,योजना लागू किए जाने पर आम लोगों ने सरकार व ज़िला प्रसाशन को बधाई भी दी और अब समाचार खेल से,N/A,telephony,gramvaani
