file,model,source,condition,locality,reference,hypothesis,latency_s
01-01025-03,deepgram,gramvaani,telephony,N/A,कि बच्चे लेने वालों की संख्या अब समय आ गया है इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे कौन जनता है,कि बच्चे लेने वालों की संख्या अब समय आ गया है तीन बच्चों का ज़िम्मा सरकार ने और गर्भपात पर रोक लगा देते हैं कौन जानता है,0.933
01-09868-01,deepgram,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश से पानी,नमस्कार आदाब श्वेता मैं श्वेता बिहार mobile वाणी पर पेश करती हूं शाम की सुर्खियां मानसून की बारिश से पानी,1.33
01-08600-03,deepgram,gramvaani,telephony,N/A,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर pf धारकों को ज़्यादा रिटर्न पाने का मौका मिल सकता है,0.848
01-07995-03,deepgram,gramvaani,telephony,N/A,मदिरा नशा जैसी सामाजिक बुराई ने आज हमारे समाज एंव राष्ट्र को एक बड़ी शराब ना केवल लाखों हँसते खेलते परिवारों को रोने पर मजबूर कर दिया,,0.923
01-05263-01,deepgram,gramvaani,telephony,N/A,में रहता है आजकल तो लड़की वाले दहेज़ के अलावा लड़की के लड़की के लिए दस से बीस हज़ार,में रहता है आजकल तो लड़के वाले दलित सालाबाद लड़की के लड़की के लिए दस से बीस बार,0.448
01-03411-01,deepgram,gramvaani,telephony,N/A,राजू तिवारी आलोक कुमार के अलावे कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,राजू तिवारी आलोक कुमार के अलावा कई लोग उपस्थित थे इसी के साथ मैं शिव नारायण reporter बोकारो mobile media,0.534
02-16304-01,deepgram,gramvaani,telephony,N/A,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गए थी थी आज इस नए झारखण्ड में हमारी बारिश होने का,आज देखा जा रहा है कि हमारे धान के खेत धान मरने की स्थिति में हो गई थी ही आज एक मई झारखंड में हमारी बारिश होनी था,0.409
01-00703-03,deepgram,gramvaani,telephony,N/A,गठित की है और जाँच चल रही है बावजूद की कोयला का अवैध उत्खनन एवं तस्करी बद्कसूर जारी है सीसीएल ढोरी प्रक्षेत्र के तारणी परियोजना स्थित,की है और जांच चल रही है बावजूद जी कोयला काग़ज़ उठाना है वह तस्करी बद्रीनाथ suit जारी है,0.461
01-00666-01,deepgram,gramvaani,telephony,N/A,प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रति पर अपने विचार लिखित रूप से जमा किया मैं राधू राय महुदा धनबाद से,एक सौ सैंतालीस को दिया मौके पर दर्जनों स्वदेश ने भाग लिया पर अपने विचार लिखित रूप से जमा किया sir मेरा अधूरा है मुरादाबाद से धन्यवाद हां,0.489
01-01992-01,deepgram,gramvaani,telephony,N/A,करोड़ों रुपया में मिला हुआ है वैसे भी किसी बच्ची के नाम पर दस हजार बीस हजार पच्चीस हजार तीस हजार रुपया तक बाकया हो जाता है,करोड़ रुपया भी क्या हुआ जैसे कि किसी व्यक्ति के नाम पर दस हज़ार बीस हज़ार चालीस हज़ार तीस हज़ार रुपया तक हो जाता है,0.439
01-04281-03,deepgram,gramvaani,telephony,N/A,कोई विश्वासनीय खाका है जिसको आप जानते हैं हैं बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाशीष सिंह धन्यवाद,कोई दिक़्क़त यह है खाता है जिसको आप जानते हैं बिहार mobile वाणी के लिए खदौली मजौनी श्री रामाती सिंह,4.306
01-04493-02,deepgram,gramvaani,telephony,N/A,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर साहरघाट से राजकिशोर यादव मधवापुर प्रखंड के बलवा गाँव में ग्यारह हजार तार पुपरी की ओर जाने वाली सड़क पर आज सुबह गिर गया है ग्यारह हजार तार गिर जाने से,नमस्कार medibuddy mobile वाले के लिए मलवापुर सागर से rocket हो जाएगा मलवापुर प्रखंड के गांव में ग्यारह हज़ार चार ऊपरी करोड़ जाने वाली तरफ़ पर आज सुबह गिर गया है ग्यारह हज़ार आगे जाने से,0.579
01-08776-01,deepgram,gramvaani,telephony,N/A,इस कार्य में काफ़ी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सवेर ग्रुप बनाकर झी झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,इस कार्य में काफी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण nature सेवा group बनाकर झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,0.425
01-10651-02,deepgram,gramvaani,telephony,N/A,की वजह से जनता को परेशान होना पड़ेगा पुलिस मुख्यालय की पहल को नया नंबर अलोट करने का निर्णय लिया,की वजह से जनता को परेशान होना पड़ेगा police मुख्यालय की पहल को नया number अलॉट करने का निर्णय,0.371
01-00622-03,deepgram,gramvaani,telephony,N/A,जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हमलोग बैठक चलाते हैं तो उसमे बरसात के सीजन में पानी घुस जाता है और धँसने वाला भी है है कहीं बैठक के समय धँस गया तो फिर लोगों की,जो भी है पहले का पंचायत भवन पुराना total total उसमें हम लोग बैठक चलाते हैं तो उसमें में पानी घुस जाता है और दस नेता वाला भी है शायद कहीं बैठे समय बस जाएगा तो फिर लोगों की,0.441
01-10039-03,deepgram,gramvaani,telephony,N/A,ये खुल गया प्राइस बैंड चार सौ अठारह से चार सौ बाईस रूपए और मिनिमम लोट साइज़ इज़ पैंतीस शेयर रखा गया है आई पी ओ दस अगस्ट तक खुला रहेगा,यह खुल गया price band चार सौ अठारह से चार सौ बाइस रुपए और minimum lot size पैंतीस share रखा गया है ipo दस august तक खुला रहेगा,0.415
01-03999-01,deepgram,gramvaani,telephony,N/A,की सर्विस लगा पर रोक लगा कर रख दिया गया है पैदल चलने वाले यात्रियों को बहुत दिक्कत होती हैं साथ ही दो पहिये वाहन तथा चार पहिये वाहन के गुजरने में भारी दिक्कतें होती है,service रुको लगाकर रख दिया गया है पैदल चलने वाली यात्रियों को जो दिक़्क़तें होती है साथ में दो पहिए वाहन पचास्तरे वाहन के ख़रीदने में सारी दिक़्क़तें होती है,1.657
02-12587-02,deepgram,gramvaani,telephony,N/A,से जिससे हमारा जीवन प्रभावित होती है होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर है आपके सामने,जिससे हमारा जीवन प्रभावित होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर हैं आपके सामने,0.419
01-11496-02,deepgram,gramvaani,telephony,N/A,अंत में समाचार खेल जगत से एशियाई खेल अंकिता के कांस्य के बाद भारत,समाचार खेल जगत से एशियाई खेल अंकिता के कांसे के बाद भारत,0.886
02-12399-02,deepgram,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं देश के कौन कौन से किसान मज़दूर यूनियन काफ़ी संख्या में इकठ्ठा होकर सरकार से अपनी माँगों को लेकर दिल्ली के पार्लियामेंट स्ट्रीट में धरना,नमस्कार आदाब श्रोताओ देश के कौन कौन से किसान मज़दूर union काफी संख्या में इकट्ठा होकर सरकार से अपनी मांगों को लेकर दिल्ली के parliament state में धरना,0.979
01-09796-02,deepgram,gramvaani,telephony,N/A,का एलान भारत और इंग्लैंड के बीच नौ अगस्त से लॉर्ड्स में खेले जाने वाले वाले दूसरे टेस्ट मैच के लिए गयी है एक वेस्टर्न टेस्ट में इंग्लैंड ने भारत को इकतीस रन,ऐलान भारत व england के beach में खेले जाने वाले दूसरे test match के लिए मिल गई है england ने भारत को,0.867
01-07562-01,deepgram,gramvaani,telephony,N/A,आवश्यक है है किन्तु नियोजित शिक्षको की मामले में न्यूनतम वेतन अठारह हजार लागू नहीं किया गया है जिसके लिए,आवश्यक है है किंतु निवेशक शिक्षकों के मामले में न्यूनतम वेतन अठारह हज़ार लागू नहीं किया गया है जिसके लिए,0.525
01-04320-03,deepgram,gramvaani,telephony,N/A,मुंगेर नगर निगम की बदहाली व्यवस्था के कारण शहर वासियों को शुद्ध पेय जल नहीं मिल रहा है नगर निगम के साथ संचालित कस्तुरबा वॉटर वर्क्स,नगर निगम की परिभाषा के कारण हर बार सौ को शुद्ध के agent नहीं मिल रहा है नगर निगम के साथ सैंतालीस,0.486
01-08017-03,deepgram,gramvaani,telephony,N/A,के बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में इनका आ आरक्षण मिले और उसका विकास हो आने वाले दिन में,एक बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में उनका आरक्षण ले और उसका विकास हो आने वाले दिन में,1.223
01-10457-02,deepgram,gramvaani,telephony,N/A,इस देश के कई भाग से हैं जहाँ सिंचाई सुविधा के आभाव मैं बारिश पर निर्भर रहते हैं अगर बारिश समय पर नहीं हुए तो सारा फसल बर्बाद अब ऐसे मैं किसान करे तो क्या करे,is देश ke kai भाग ऐसे हैं जहा and aadhiant सिंचाई सुविधा ke अभाव me ke liye वारिस पर निर्भर रहते हैं और अगर बारिश समय पर नही हुई तो सारा fasel barbad ab ऐसे me किसान karen to kya करें,0.928
02-14905-01,deepgram,gramvaani,telephony,N/A,श्री पावन भगत अशोक केसरी पवन केसरी विजय मिश्रा उदय लाहाकर प्रवीन मिश्रा मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य मौजुद वही बताते चले की मोबाइल वाणी के द्वारा ही,पवन भगत अशोक केसरी पवन केसरी विजय मिश्रा उदय लाकर प्रवीण मिश्रा मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य मधु वहीं बताते चले कि mobile वाणी के द्वारा ही,0.679
02-17467-01,deepgram,gramvaani,telephony,N/A,मोबाइल वाणी के बेहद लोकप्रिय और ख़ास कार्यक्रम खबरें जरा हट के में आपका स्वागत है,mobile वाणी के बेहद लोकप्रिय और खास कार्यक्रम खबरें जरा हटके में आपका स्वागत है,1.036
01-00097-03,deepgram,gramvaani,telephony,N/A,इस मध्य प्रदेश मोबाइल वाणी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं धन्यवाद नमस्कार,इस मध्य प्रदेश मारवाड़ी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं धन्यवाद नमस्कार,0.742
02-13426-02,deepgram,gramvaani,telephony,N/A,आँगनबाड़ी सहायिकाओं को पन्द्रह सौ रूपए के स्थान पर बाईस सौ सौ पचास रूपए मिलेंगे और अब ख़बर खेल जगत से कुछ देर में शुरू होगा पाँचवें दिन दिन का खेल शाख बचाने को उतरेगी टीम इंडिया ख़बर है नई दिल्ली से,आंगनबाड़ी psycho को पंद्रह सौ रुपए के स्थान पर बाइस सौ पचास रुपए मिलेंगे और अब खबर खेल जगत से कुछ देर में शुरू होगा पांचवें दिन तीन दिन का खेल सात बजे उतरे की team india खबर है नई दिल्ली से,0.709
02-14654-01,deepgram,gramvaani,telephony,N/A,याद है की मनरेगा में लंबित मजदूरी भुगतान नहीं होने के सम्बन्ध में शिकायतें प्राप्त हो रही थी राज्य शासन द्वारा शिकायतों के निराकरण के लिए ग्राम पंचायतों में कलस्टर,याद है कि मनरेगा में लंबित मजदूरी भुगतान नहीं होने के संबंध में शिकायतें प्राप्त हो रही थी राज्य शासन द्वारा शिकायतों के निराकरण के लिए gram पंचायतों में cholesterol,0.431
01-03123-03,deepgram,gramvaani,telephony,N/A,फ़िलहाल जारी अधिकतम तापमान का ट्रेंड गेहूं और दलहन का  यदि तापमान का रुख ऐसा ही जारी रहा,फ़िलहाल जारी अधिकतम तापमान का trend गेहूं और दलहन की फ़सल यदि तापमान का रुख ऐसा ही जारी रहा,0.562
02-12354-02,deepgram,gramvaani,telephony,N/A,तिलका मांझी भागलपुर विश्वविद्यालय प्रशासन ने बी ए फर्स्ट इयर दो हज़ार सतरह उन्नीस का परीक्षा कार्यक्रम घोषित कर दिया है परीक्षा दूसरी पाली में दो बजे,बिहारपुर विश्वविद्यालय प्रशासन ने first year दो हज़ार सत्रह उन्नीस का परीक्षा कार्यक्रम घोषित कर दिया है परीक्षा दूसरी पाली ने दो बजे,1.26
01-07629-02,deepgram,gramvaani,telephony,N/A,और पछताना नहीं पड़ता है बहुत से ऐसे गाँव के विद्यार्थी को मैंने देखा है की कई,और पैसा नहीं पड़ता है बहुत से ऐसे दास विद्यार्थियों को मैंने देखा है इसके करीब,0.747
01-06461-03,deepgram,gramvaani,telephony,N/A,मुंगेर प्रखंड क्षेत्र में बिजली के लिए हाहाकार मचा हुआ है चौबीस घंटे में से मात्र आठ से बारह घंटे तक भी बिजली नहीं मिलती है,मुंगेर में बिजली के लिए आकार में चल रहा है चौबीस घंटे में से मात्र आठ से बारह घंटे तक भी नहीं मिलती है,2.465
13-00159-01,deepgram,gramvaani,telephony,N/A,विरोधियों के बीच होने वाले इस मैच की तारीख से नाराज़ है बी सी सी ज है बी सी सी आई ने एशिया कप के कार्यक्रम में भारत और पाकिस्तान के मैच की मैच की तारीख पर आपत्ति जताई है,के beach होने वाले इस match की तारीख से नाराज़ है bcci ने asia cup के कार्यक्रम में भारत और pakistan की match ही match की तारीख पर आपत्ति जताई है,3.928
01-03050-02,deepgram,gramvaani,telephony,N/A,मैं राजीव कुमार ठाकुर जिला मुंगेर मुंगेर की आवाज़ से बाबा धरमदास मंदिर के निर्माण समिति द्वारा संकल्प दिवस का आयोजन,मैं राजीव कुमार ठाकुर जिला मुंगेर मुंगेर की आवाज़ से बाबा धर्मदास मंदिर निर्माण समिति द्वारा संकल्प दिवस का आयोजन,0.53
01-04208-01,deepgram,gramvaani,telephony,N/A,एक राज्य की छवि छवि खराब करने की ही और दूसरी राज्य को अपने शिक्षा व्यवस्था को ज्यादा गंभीरता से लेने के लिए बाध्य करने की करने की बिहार बोर्ड की परीक्षा में अभिभावकों द्वारा खुलेआम नकल कराने की तस्वीर दुनिया भर में चर्चित हुई थी,एक राज्य की अधिक की अधिक ख़राब करने की थी और दूसरी राज्य को अपनी शिक्षा व्यवस्था को ज़्यादा गंभीरता से लेने के लिए बारीक करने की करने की बिहार board की परीक्षा में अभिभावकों द्वारा खुले आम नकल कराने की एक तकलीफ़ दुनिया भर में दहशत हुई थी,2.494
02-21289-01,deepgram,gramvaani,telephony,N/A,डेढ़ साल पहले ही हम शादी के बंधन में बंधे है इस घर के इकलौते बेटे होने के नाते बचपन से ही सबके लाड प्यार ने इन्हे बिगाड़ रखा है रखा है सुबह से शाम ये अपने काम पर रहते है,डेढ़ साल पहले ही हम शादी के बंधन में बंदे हैं इस घर के इकलौते बेटे होने के नाते बचपन से ही सबके लात प्यार ने इन्हें बिगाड़ रखा है सुबह से शाम यह अपने कम पर रहते हैं,0.52
02-13499-02,deepgram,gramvaani,telephony,N/A,मोदी सरकार ने आशा कार्यकर्ताओं का भत्ता दो गुना किया प्रधानमंत्री बीमा भी मुफ्त मिलेगा,मोदी सरकार ने आशा कार्यकर्ताओं का भत्ता दोगुना किया प्रधानमंत्री बीमा भी मुफ्त मिलेगा,0.401
01-06401-03,deepgram,gramvaani,telephony,N/A,लगभग तीन तीन सौ की आबादी वाले बरवाडीह गाँव ना एक कुआँ ना तालाब है नहाने के लिए यहाँ के लोगो को करीब डेढ़ किलोमीटर की दूरी तय कर,लगभग तीन तीन सौ की आबादी वाले बर्बादी में अपना एक कुआं ना तालाब है नहाने के लिए यहां के लोगों को क़रीब डेढ़ kilometer की दूरी से sir,0.487
01-02125-02,deepgram,gramvaani,telephony,N/A,नमस्कार श्रोता मित्रों मेट्रिक की परीक्षा की शुरुआत शांतिपूर्ण तैतालिस परीक्षार्थी अनुपस्थित रहे मैं जेएम रंगीला कोऑर्डिनेटर बोकारो से झारखण्ड मोबाइल वाणी,नमस्कार प्रतीक्षा की शुरुआत शांति को पैंतालीस परीक्षा से अनुपस्थित रहे,0.428
01-01990-01,deepgram,gramvaani,telephony,N/A,लेकिन वहाँ पर नीचे उतारने का भी अभी तक कोई रास्ता नहीं गया है वहाँ पर बहुत झाड़ झुड़ रहता है इसलिए मैं ग्राम वाणी के द्वारा सरकार से अनुरोध करना चाहता हूँ,लेकिन उस वहां से नीचे उतरने का अभी तो कोई रास्ता नहीं गया है वहां पर बहुत साल जो रहता है इसीलिए मैं जमाने के द्वारा सरकार से enroll करना चाहता हूं,0.526
01-07043-02,deepgram,gramvaani,telephony,N/A,पुनः एक बार सहायता की की जाए धन्य धन्यवाद,कितना एक बार ऐसा है कि पहले पहले बार,0.409
01-02028-02,deepgram,gramvaani,telephony,N/A,उम्मीदवार होगी जिसे आम जन सामाजिक कार्यकर्ता कम और और राजनीती के रूप में अधिक जानेंगे इसमें कोई शक नहीं मैं राधू राय,उम्मीदवार होगी जिसे आमजन सामाजिक कार्यकर्ता कम राजनीतिक के रूप में अधिक जानेंगे इसमें कोई शक नहीं है,2.236
01-06650-01,deepgram,gramvaani,telephony,N/A,डालडा जो होता है उसमे आलू का मिश्रण मिश्रण हो रहा है तेल भी आज कल दोस्तों कोई खास ऑरिजनल नहीं आ रहा है तो आप और आपके परिवार प्लस आप आपके व्यवहारी,dalda जो होता है उसमें आलू का mised constent हो रहा है तेल भी आजकल दोस्तों कोई खास original नहीं आ रहा है तो आप और आपके परिवार plus आपके आपके व्यवहारी,0.436
02-16456-01,deepgram,gramvaani,telephony,N/A,है एक वरिष्ट सरकारी अधिकारी ने बताया कि ये योजनायें सरकारी हो सकती हैं पेंशन बीमा और भविष्य निधि के क्षेत्रों में निजी खिलाडियों का संचालन कर सकती है,है एक वरिष्ठ अधिकारी अधिकारी ने बताया कि यह योजनाएं सरकारी हो सकती हैं pension बीमा और भविष्य निधि के क्षेत्रों में निजी खिलाड़ियों का संचालन कर सकती,0.613
01-06529-02,deepgram,gramvaani,telephony,N/A,मैं ये वन प्रबंधन पदाधिकारी हजारीबाग से ये कहना चाहता हूँ की आप नक्शा पास केंद्र में गड्ढे नाले जहाँ भी हों वहाँ गड्ढा खोद कर के सारे,मैं यह वित्तमंत्र मंडल पदाधिकारी हज़ारीबाग से मैं कहना चाहता हूं कि आप नक्शा park के अंदर में गड्ढे नारे जहां भी हो तो आप कर के पा रहे हैं,0.485
01-10685-03,deepgram,gramvaani,telephony,N/A,नया टाइम टेबल लागू किया है रतलाम रेल मंडल पर चलने वाली उनतीस उनतीस गाड़ियों की गति को बढ़ाया गया है है रतलाम मंडल से होकर जाने वाली कुल पैसठ गाड़ियों की,नया time table लागू किया है रतलाम रेल मंडल पर चलने वाली उनतीस उनतीस गाड़ियों की गति को बढ़ाया गया है रतलाम मंडल से होकर जाने वाली कुल पैंसठ गाड़ियों के,0.99
01-05003-02,deepgram,gramvaani,telephony,N/A,के नेता को कभी अकेले तो कभी संदिग्ध रूप से सत्ता मिला लेकिन जनता की कसौटी पर कोई भी खड़ा नहीं उतर नहीं उतर सका यही सबसे बड़ी चिंता की बात है,के नेता को कभी अकेले तो कभी संगीत group में सत्ता मिला लेकिन जनता की कसौटी पर कोई भी खड़ा नहीं होता नहीं उतर सका यही सबसे बड़ी चिंता की बात है,0.985
01-00960-03,deepgram,gramvaani,telephony,N/A,की जाती है परन्तु कं पुतना ने जब कृष्ण को अपना दुध पिला रहे थे मारने के लिए तब ही भगवान कृष्ण चमत्कार दिखाया की साथ साथ जो है की उनका,जाती है परंतु उतना में जब कितनों को अपना आप का दूध पिला रहे थे मारने करके देता है भगवान की चमत्कार दिखाया इसके साथ साथ जो है कि उनका,0.626
02-12750-02,deepgram,gramvaani,telephony,N/A,नमस्कार श्रोताओं मैं सुनिधि लेकर आई हूँ बिहार मोबाइल वाणी पर शाम,नमस्कार श्रोताओं मैं सुनिधि लेकर आई हूँ बिहार mobile वाणी पर शांत,0.455
01-08134-02,deepgram,gramvaani,telephony,N/A,परीक्षा नौ अगस्त को खबर है नई दिल्ली से रेलवे ने सहायक लोको तकनीशियनों की की छबीस हजार पाँच सौ दो नियुक्तियों के लिए परीक्षा की तारीख नौ,nine august को खबर है नई दिल्ली से railway ने सहायक लोको तक nationों की twenty six thousand five hundred two reaction के लिए परीक्षा की तारीख नो,0.527
01-09492-02,deepgram,gramvaani,telephony,N/A,की है रूट लाइन व कतार के,कि है रूट line व कतार के,1.068
01-02482-01,deepgram,gramvaani,telephony,N/A,जयनगर अनुमंडल क्षेत्र से सुरेश कुमार गुप्ता जयनगर,जय नगर जय नगर,1.359
02-19405-01,deepgram,gramvaani,telephony,N/A,होता ई है कि एस एस जी चूकि महिलाओं का समूह है तो तुम्हारी मेहरारू को,होता यह है कि एस एच जी चुकी महिलाओं का समूह है तो तुम्हारी मेहरारू को कब,1.033
01-06986-01,deepgram,gramvaani,telephony,N/A,सब्जियों की दुकाने फलों फलों के ठेले और तरह तरह के ठेलों की यातायात को बाध्य कई जगहों पर सड़क किनारे लोगों ने घर बना लिया हैं उनके लिए सड़क ही आंगन बन जाता हैं,सब्जियों की दुकाने फलों के फलों के खेले और तरह तरह के लिए तैयार किया था आपको बात कई जगहों पर सड़क किनारे लोगों ने घर बना लिया है उनके लिए तरक्की आंगन वन जाता है,0.972
01-01715-03,deepgram,gramvaani,telephony,N/A,ये सुनना मैं बहुत पसंद करता हूँ मेरी जीवन में बदलाव की श्रण आती रहती है इसी के साथ में ये सन्देश देना चाहता हूँ बिहार मोबाइल वाणी के साथ,यह सुनना मैं बहुत पसंद कर रही हूं मेरे जीवन में बदलाव शिक्षण आती रहती है इसी के साथ मैं यह संदेश देना चाहता हूं बिहार mobile वाणी के साथ,1.003
01-09945-03,deepgram,gramvaani,telephony,N/A,अगर आपके आस पास या आपका क्षेत्रों में भी कुछ ऐसी ही खबरें हैं हैं जो ज़रा हटके हैं हैं तो हमें ज़रूर बताएं अपने मोबाइल में नंबर तीन दबा कर कर और साथ ही इसका,अगर आपके आसपास या आपके क्षेत्रों में भी कुछ ऐसी ही खबरें हैं जो जरा हटके हैं हैं तो हमें ज़रूर बताएं अपने mobile में number तीन दबाकर और साथ ही इसका,0.575
01-05555-02,deepgram,gramvaani,telephony,N/A,किसानों को यह जानकारी किसान पाठशाला लगाकर उपलब्ध कराई जाए की जानकारी प्रखंड पीसी ने बताया की ये कार्यक्रम  में चलाया जायेगा जिसके लिए चयन की प्रक्रि प्रक्रिया अंतिम चरण उन्होंने बताया की चयनित,किसानों को यह जानकारी किसान पाठशाला लगाकर उपलब्ध कराई जिसकी जानकारी प्रखंड सिंह ने बताया कि यह कार्यक्रम दायित्व में चलाया जाएगा इसके लिए चयन की प्रति प्रति शांति चरण उन्होंने बताया कि,1.319
02-15827-01,deepgram,gramvaani,telephony,N/A,सहकारी मुखिया सिकंदर  दिवाकर महतो उमेश कुमार चौबे चौबे मिथिलेश महाराज विनीत जैसवाल सोहेल अंसारी ने,निधि सरकारी मुखिया सिकंदर कपदादादादादादादादादादादादादादा नरेश कुमार चौबे मोहित मिथिलेश महाराज दिनेश जैसवाल तो है अंसारी ने,0.675
