file,model,source,condition,locality,reference,hypothesis,normalized_ref,normalized_hyp,latency_s,wer,cer,entity_hit
bommanahalli-whisper,deepgram,self,whisper,Bommanahalli,bommanahalli mein rehta hoon kaam ke liye apply karna tha,हमारे में रहता हूं काम के लिए अप्रे करना था,bommanahalli mein rehta hoon kaam ke liye apply karna tha,hamare mem rahata hum kama ke lie apre karana tha,0.353,0.8,0.42105263157894735,0.0
krpuram-whisper,deepgram,self,whisper,KR Puram,kr puram station ke paas hoon koi job hai kya paas mein,kb g b gm station के पास हूँ कोई जवाब है क्या पास में,kr puram station ke paas hoon koi job hai kya paas mein,kb g b gm station ke pasa hu n koi javaba hai kya pasa mem,1.526,0.8333333333333334,0.32727272727272727,0.0
peenya-whisper,deepgram,self,whisper,Peenya,peenya industrial area mein supervisor ka kaam chahiye,बेनियाई testल area में एक supervisor का काम चाहिए,peenya industrial area mein supervisor ka kaam chahiye,beniyai testla area mem eka supervisor ka kama chahie,1.432,0.75,0.3333333333333333,0.0
yeshwanthpur-whisper,deepgram,self,whisper,Yeshwanthpur,yeshwanthpur se koi factory job milegi kya experience hai,यह श्रुतिपुर से कोई factory job मिलेंगे क्या experience है,yeshwanthpur se koi factory job milegi kya experience hai,yaha shrutipura se koi factory job milemge kya experience hai,0.737,0.3333333333333333,0.19298245614035087,0.0
01-04397-02,deepgram,gramvaani,telephony,N/A,बेईमानी और भ्रस्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलिए माला माल हो रहे हैं,बेईमानी और भ्रष्टाचारी की वजह से जन प्रतिनिधि अधिकारी व हो रहा,beimani aura bhrastachari ki vajaha se janapratinidhi adhikari va bichaulie mala mala ho rahe haim,beimani aura bhrashtachari ki vajaha se jana pratinidhi adhikari va ho raha,0.534,0.5333333333333333,0.2755102040816326,
01-01025-03,deepgram,gramvaani,telephony,N/A,कि बच्चे लेने वालों की संख्या अब समय आ गया है इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे कौन जनता है,कि बच्चे लेने वालों की संख्या अब समय आ गया है तीन बच्चों का ज़िम्मा सरकार ने और गर्भपात पर रोक लगा देते हैं कौन जानता है,ki bachche lene valom ki samkhya aba samaya a gaya hai ina bachchom ka jimma sarakara le aura garbhapata para roka laga de kauna janata hai,ki bachche lene valom ki samkhya aba samaya a gaya hai tina bachchom ka zimma sarakara ne aura garbhapata para roka laga dete haim kauna janata hai,0.933,0.19230769230769232,0.07194244604316546,
01-09868-01,deepgram,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश से पानी,नमस्कार आदाब श्वेता मैं श्वेता बिहार mobile वाणी पर पेश करती हूं शाम की सुर्खियां मानसून की बारिश से पानी,namaskara adaba shrotaom maim shveta bihara mobaila vani para pesha karati hu n shama ki surkhiya n manasuna ki barisha se pani,namaskara adaba shveta maim shveta bihara mobile vani para pesha karati hum shama ki surkhiyam manasuna ki barisha se pani,1.33,0.2727272727272727,0.07874015748031496,
01-08600-03,deepgram,gramvaani,telephony,N/A,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर pf धारकों को ज़्यादा रिटर्न पाने का मौका मिल सकता है,lagane ka vikalpa mila sakata hai shrama mamtralaya nivesha para maujuda kaipa ko hatane ke lie niti bana raha hai aisa hone para piepha khata dharakom ko jyada ritarna pane ka mauka mila sakata hai,lagane ka vikalpa mila sakata hai shrama mamtralaya nivesha para maujuda kaipa ko hatane ke lie niti bana raha hai aisa hone para pf dharakom ko zyada ritarna pane ka mauka mila sakata hai,0.848,0.08571428571428572,0.06060606060606061,
01-07995-03,deepgram,gramvaani,telephony,N/A,मदिरा नशा जैसी सामाजिक बुराई ने आज हमारे समाज एंव राष्ट्र को एक बड़ी शराब ना केवल लाखों हँसते खेलते परिवारों को रोने पर मजबूर कर दिया,,madira nasha jaisi samajika burai ne aja hamare samaja emva rashtra ko eka ba di sharaba na kevala lakhom ha nsate khelate parivarom ko rone para majabura kara diya,,0.923,1.0,1.0,
01-05263-01,deepgram,gramvaani,telephony,N/A,में रहता है आजकल तो लड़की वाले दहेज़ के अलावा लड़की के लड़की के लिए दस से बीस हज़ार,में रहता है आजकल तो लड़के वाले दलित सालाबाद लड़की के लड़की के लिए दस से बीस बार,mem rahata hai ajakala to la daki vale daheza ke alava la daki ke la daki ke lie dasa se bisa hazara,mem rahata hai ajakala to la dake vale dalita salabada la daki ke la daki ke lie dasa se bisa bara,0.448,0.22727272727272727,0.12,
01-03411-01,deepgram,gramvaani,telephony,N/A,राजू तिवारी आलोक कुमार के अलावे कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,राजू तिवारी आलोक कुमार के अलावा कई लोग उपस्थित थे इसी के साथ मैं शिव नारायण reporter बोकारो mobile media,raju tivari aloka kumara ke alave kai loga upasthita the isi ke satha maim shivanarayana riportara bokaro mobaila midiya jaridiha bokaro se,raju tivari aloka kumara ke alava kai loga upasthita the isi ke satha maim shiva narayana reporter bokaro mobile media,0.534,0.4090909090909091,0.2014388489208633,
02-16304-01,deepgram,gramvaani,telephony,N/A,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गए थी थी आज इस नए झारखण्ड में हमारी बारिश होने का,आज देखा जा रहा है कि हमारे धान के खेत धान मरने की स्थिति में हो गई थी ही आज एक मई झारखंड में हमारी बारिश होनी था,aja dekha ja raha hai ki hamare dhana ke kheta dhana marane ki sthiti mem ho gae thi thi aja isa nae jharakhanda mem hamari barisha hone ka,aja dekha ja raha hai ki hamare dhana ke kheta dhana marane ki sthiti mem ho gai thi hi aja eka mai jharakhamda mem hamari barisha honi tha,0.409,0.25,0.07194244604316546,
01-00703-03,deepgram,gramvaani,telephony,N/A,गठित की है और जाँच चल रही है बावजूद की कोयला का अवैध उत्खनन एवं तस्करी बद्कसूर जारी है सीसीएल ढोरी प्रक्षेत्र के तारणी परियोजना स्थित,की है और जांच चल रही है बावजूद जी कोयला काग़ज़ उठाना है वह तस्करी बद्रीनाथ suit जारी है,gathita ki hai aura ja ncha chala rahi hai bavajuda ki koyala ka avaidha utkhanana evam taskari badkasura jari hai sisiela dhori prakshetra ke tarani pariyojana sthita,ki hai aura jamcha chala rahi hai bavajuda ji koyala kagaza uthana hai vaha taskari badrinatha suit jari hai,0.461,0.6296296296296297,0.46107784431137727,
01-00666-01,deepgram,gramvaani,telephony,N/A,प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रति पर अपने विचार लिखित रूप से जमा किया मैं राधू राय महुदा धनबाद से,एक सौ सैंतालीस को दिया मौके पर दर्जनों स्वदेश ने भाग लिया पर अपने विचार लिखित रूप से जमा किया sir मेरा अधूरा है मुरादाबाद से धन्यवाद हां,pratibhagiyom ko diya mauke para darjanom sadasyom ne bhaga liya evam prati para apane vichara likhita rupa se jama kiya maim radhu raya mahuda dhanabada se,eka sau saimtalisa ko diya mauke para darjanom svadesha ne bhaga liya para apane vichara likhita rupa se jama kiya sir mera adhura hai muradabada se dhanyavada ham,0.489,0.5,0.358974358974359,
01-01992-01,deepgram,gramvaani,telephony,N/A,करोड़ों रुपया में मिला हुआ है वैसे भी किसी बच्ची के नाम पर दस हजार बीस हजार पच्चीस हजार तीस हजार रुपया तक बाकया हो जाता है,करोड़ रुपया भी क्या हुआ जैसे कि किसी व्यक्ति के नाम पर दस हज़ार बीस हज़ार चालीस हज़ार तीस हज़ार रुपया तक हो जाता है,karo dom rupaya mem mila hua hai vaise bhi kisi bachchi ke nama para dasa hajara bisa hajara pachchisa hajara tisa hajara rupaya taka bakaya ho jata hai,karo da rupaya bhi kya hua jaise ki kisi vyakti ke nama para dasa hazara bisa hazara chalisa hazara tisa hazara rupaya taka ho jata hai,0.439,0.4642857142857143,0.23684210526315788,
01-04281-03,deepgram,gramvaani,telephony,N/A,कोई विश्वासनीय खाका है जिसको आप जानते हैं हैं बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाशीष सिंह धन्यवाद,कोई दिक़्क़त यह है खाता है जिसको आप जानते हैं बिहार mobile वाणी के लिए खदौली मजौनी श्री रामाती सिंह,koi vishvasaniya khaka hai jisako apa janate haim haim bihara mobaila vani ke lie khajauli madhubani se ramashisha simha dhanyavada,koi diqqata yaha hai khata hai jisako apa janate haim bihara mobile vani ke lie khadauli majauni shri ramati simha,4.306,0.55,0.33587786259541985,
01-04493-02,deepgram,gramvaani,telephony,N/A,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर साहरघाट से राजकिशोर यादव मधवापुर प्रखंड के बलवा गाँव में ग्यारह हजार तार पुपरी की ओर जाने वाली सड़क पर आज सुबह गिर गया है ग्यारह हजार तार गिर जाने से,नमस्कार medibuddy mobile वाले के लिए मलवापुर सागर से rocket हो जाएगा मलवापुर प्रखंड के गांव में ग्यारह हज़ार चार ऊपरी करोड़ जाने वाली तरफ़ पर आज सुबह गिर गया है ग्यारह हज़ार आगे जाने से,namaskara madhubani mobaila vani ke lie maim madhavapura saharaghata se rajakishora yadava madhavapura prakhamda ke balava ga nva mem gyaraha hajara tara pupari ki ora jane vali sa daka para aja subaha gira gaya hai gyaraha hajara tara gira jane se,namaskara medibuddy mobile vale ke lie malavapura sagara se rocket ho jaega malavapura prakhamda ke gamva mem gyaraha hazara chara upari karo da jane vali tarafa para aja subaha gira gaya hai gyaraha hazara age jane se,0.579,0.5609756097560976,0.2701612903225806,
01-08776-01,deepgram,gramvaani,telephony,N/A,इस कार्य में काफ़ी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सवेर ग्रुप बनाकर झी झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,इस कार्य में काफी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण nature सेवा group बनाकर झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,isa karya mem kafi samgharsha ka samana karana pa da aba unhomne arpana nechara savera grupa banakara jhi jhila ki dubara khubasurati lane ka bharasaka prayasa kara rahe haim,isa karya mem kaphi samgharsha ka samana karana pa da aba unhomne arpana nature seva group banakara jhila ki dubara khubasurati lane ka bharasaka prayasa kara rahe haim,0.425,0.1724137931034483,0.09195402298850575,
01-10651-02,deepgram,gramvaani,telephony,N/A,की वजह से जनता को परेशान होना पड़ेगा पुलिस मुख्यालय की पहल को नया नंबर अलोट करने का निर्णय लिया,की वजह से जनता को परेशान होना पड़ेगा police मुख्यालय की पहल को नया number अलॉट करने का निर्णय,ki vajaha se janata ko pareshana hona pa dega pulisa mukhyalaya ki pahala ko naya nambara alota karane ka nirnaya liya,ki vajaha se janata ko pareshana hona pa dega police mukhyalaya ki pahala ko naya number alaॉta karane ka nirnaya,0.371,0.19047619047619047,0.11016949152542373,
01-00622-03,deepgram,gramvaani,telephony,N/A,जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हमलोग बैठक चलाते हैं तो उसमे बरसात के सीजन में पानी घुस जाता है और धँसने वाला भी है है कहीं बैठक के समय धँस गया तो फिर लोगों की,जो भी है पहले का पंचायत भवन पुराना total total उसमें हम लोग बैठक चलाते हैं तो उसमें में पानी घुस जाता है और दस नेता वाला भी है शायद कहीं बैठे समय बस जाएगा तो फिर लोगों की,jo bhi hai pahale ka pamchayata bhavana purana tutala phutala usamem hamaloga baithaka chalate haim to usame barasata ke sijana mem pani ghusa jata hai aura dha nsane vala bhi hai hai kahim baithaka ke samaya dha nsa gaya to phira logom ki,jo bhi hai pahale ka pamchayata bhavana purana total total usamem hama loga baithaka chalate haim to usamem mem pani ghusa jata hai aura dasa neta vala bhi hai shayada kahim baithe samaya basa jaega to phira logom ki,0.441,0.37209302325581395,0.20502092050209206,
01-10039-03,deepgram,gramvaani,telephony,N/A,ये खुल गया प्राइस बैंड चार सौ अठारह से चार सौ बाईस रूपए और मिनिमम लोट साइज़ इज़ पैंतीस शेयर रखा गया है आई पी ओ दस अगस्ट तक खुला रहेगा,यह खुल गया price band चार सौ अठारह से चार सौ बाइस रुपए और minimum lot size पैंतीस share रखा गया है ipo दस august तक खुला रहेगा,ye khula gaya praisa baimda chara sau atharaha se chara sau baisa rupae aura minimama lota saiza iza paimtisa sheyara rakha gaya hai ai pi o dasa agasta taka khula rahega,yaha khula gaya price band chara sau atharaha se chara sau baisa rupae aura minimum lot size paimtisa share rakha gaya hai ipo dasa august taka khula rahega,0.415,0.3870967741935484,0.16470588235294117,
01-03999-01,deepgram,gramvaani,telephony,N/A,की सर्विस लगा पर रोक लगा कर रख दिया गया है पैदल चलने वाले यात्रियों को बहुत दिक्कत होती हैं साथ ही दो पहिये वाहन तथा चार पहिये वाहन के गुजरने में भारी दिक्कतें होती है,service रुको लगाकर रख दिया गया है पैदल चलने वाली यात्रियों को जो दिक़्क़तें होती है साथ में दो पहिए वाहन पचास्तरे वाहन के ख़रीदने में सारी दिक़्क़तें होती है,ki sarvisa laga para roka laga kara rakha diya gaya hai paidala chalane vale yatriyom ko bahuta dikkata hoti haim satha hi do pahiye vahana tatha chara pahiye vahana ke gujarane mem bhari dikkatem hoti hai,service ruko lagakara rakha diya gaya hai paidala chalane vali yatriyom ko jo diqqatem hoti hai satha mem do pahie vahana pachastare vahana ke karidane mem sari diqqatem hoti hai,1.657,0.5277777777777778,0.2731707317073171,
02-12587-02,deepgram,gramvaani,telephony,N/A,से जिससे हमारा जीवन प्रभावित होती है होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर है आपके सामने,जिससे हमारा जीवन प्रभावित होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर हैं आपके सामने,se jisase hamara jivana prabhavita hoti hai hoti hai aura aja bhi hama eka aise hi mudde ke satha hazira hai apake samane,jisase hamara jivana prabhavita hoti hai aura aja bhi hama eka aise hi mudde ke satha hazira haim apake samane,0.419,0.17391304347826086,0.10743801652892562,
01-11496-02,deepgram,gramvaani,telephony,N/A,अंत में समाचार खेल जगत से एशियाई खेल अंकिता के कांस्य के बाद भारत,समाचार खेल जगत से एशियाई खेल अंकिता के कांसे के बाद भारत,amta mem samachara khela jagata se eshiyai khela amkita ke kamsya ke bada bharata,samachara khela jagata se eshiyai khela amkita ke kamse ke bada bharata,0.886,0.21428571428571427,0.13580246913580246,
02-12399-02,deepgram,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं देश के कौन कौन से किसान मज़दूर यूनियन काफ़ी संख्या में इकठ्ठा होकर सरकार से अपनी माँगों को लेकर दिल्ली के पार्लियामेंट स्ट्रीट में धरना,नमस्कार आदाब श्रोताओ देश के कौन कौन से किसान मज़दूर union काफी संख्या में इकट्ठा होकर सरकार से अपनी मांगों को लेकर दिल्ली के parliament state में धरना,namaskara adaba shrotaom desha ke kauna kauna se kisana mazadura yuniyana kafi samkhya mem ikaththa hokara sarakara se apani ma ngom ko lekara dilli ke parliyamemta strita mem dharana,namaskara adaba shrotao desha ke kauna kauna se kisana mazadura union kaphi samkhya mem ikattha hokara sarakara se apani mamgom ko lekara dilli ke parliament state mem dharana,0.979,0.27586206896551724,0.08743169398907104,
01-09796-02,deepgram,gramvaani,telephony,N/A,का एलान भारत और इंग्लैंड के बीच नौ अगस्त से लॉर्ड्स में खेले जाने वाले वाले दूसरे टेस्ट मैच के लिए गयी है एक वेस्टर्न टेस्ट में इंग्लैंड ने भारत को इकतीस रन,ऐलान भारत व england के beach में खेले जाने वाले दूसरे test match के लिए मिल गई है england ने भारत को,ka elana bharata aura imglaimda ke bicha nau agasta se laॉrdsa mem khele jane vale vale dusare testa maicha ke lie gayi hai eka vestarna testa mem imglaimda ne bharata ko ikatisa rana,ailana bharata va england ke beach mem khele jane vale dusare test match ke lie mila gai hai england ne bharata ko,0.867,0.6363636363636364,0.46994535519125685,
01-07562-01,deepgram,gramvaani,telephony,N/A,आवश्यक है है किन्तु नियोजित शिक्षको की मामले में न्यूनतम वेतन अठारह हजार लागू नहीं किया गया है जिसके लिए,आवश्यक है है किंतु निवेशक शिक्षकों के मामले में न्यूनतम वेतन अठारह हज़ार लागू नहीं किया गया है जिसके लिए,avashyaka hai hai kintu niyojita shikshako ki mamale mem nyunatama vetana atharaha hajara lagu nahim kiya gaya hai jisake lie,avashyaka hai hai kimtu niveshaka shikshakom ke mamale mem nyunatama vetana atharaha hazara lagu nahim kiya gaya hai jisake lie,0.525,0.25,0.08,
01-04320-03,deepgram,gramvaani,telephony,N/A,मुंगेर नगर निगम की बदहाली व्यवस्था के कारण शहर वासियों को शुद्ध पेय जल नहीं मिल रहा है नगर निगम के साथ संचालित कस्तुरबा वॉटर वर्क्स,नगर निगम की परिभाषा के कारण हर बार सौ को शुद्ध के agent नहीं मिल रहा है नगर निगम के साथ सैंतालीस,mumgera nagara nigama ki badahali vyavastha ke karana shahara vasiyom ko shuddha peya jala nahim mila raha hai nagara nigama ke satha samchalita kasturaba vaॉtara varksa,nagara nigama ki paribhasha ke karana hara bara sau ko shuddha ke agent nahim mila raha hai nagara nigama ke satha saimtalisa,0.486,0.46153846153846156,0.38461538461538464,
01-08017-03,deepgram,gramvaani,telephony,N/A,के बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में इनका आ आरक्षण मिले और उसका विकास हो आने वाले दिन में,एक बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में उनका आरक्षण ले और उसका विकास हो आने वाले दिन में,ke behatarina mahila ko eka paradarshi mahila ko pamchayata mem inaka a arakshana mile aura usaka vikasa ho ane vale dina mem,eka behatarina mahila ko eka paradarshi mahila ko pamchayata mem unaka arakshana le aura usaka vikasa ho ane vale dina mem,1.223,0.18181818181818182,0.056,
01-10457-02,deepgram,gramvaani,telephony,N/A,इस देश के कई भाग से हैं जहाँ सिंचाई सुविधा के आभाव मैं बारिश पर निर्भर रहते हैं अगर बारिश समय पर नहीं हुए तो सारा फसल बर्बाद अब ऐसे मैं किसान करे तो क्या करे,is देश ke kai भाग ऐसे हैं जहा and aadhiant सिंचाई सुविधा ke अभाव me ke liye वारिस पर निर्भर रहते हैं और अगर बारिश समय पर नही हुई तो सारा fasel barbad ab ऐसे me किसान karen to kya करें,isa desha ke kai bhaga se haim jaha n simchai suvidha ke abhava maim barisha para nirbhara rahate haim agara barisha samaya para nahim hue to sara phasala barbada aba aise maim kisana kare to kya kare,is desha ke kai bhaga aise haim jaha and aadhiant simchai suvidha ke abhava me ke liye varisa para nirbhara rahate haim aura agara barisha samaya para nahi hui to sara fasel barbad ab aise me kisana karen to kya karem,0.928,0.4594594594594595,0.21,
02-14905-01,deepgram,gramvaani,telephony,N/A,श्री पावन भगत अशोक केसरी पवन केसरी विजय मिश्रा उदय लाहाकर प्रवीन मिश्रा मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य मौजुद वही बताते चले की मोबाइल वाणी के द्वारा ही,पवन भगत अशोक केसरी पवन केसरी विजय मिश्रा उदय लाकर प्रवीण मिश्रा मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य मधु वहीं बताते चले कि mobile वाणी के द्वारा ही,shri pavana bhagata ashoka kesari pavana kesari vijaya mishra udaya lahakara pravina mishra mamtu bhagata sahita ganesha mamdira samiti ke sabhi sadasya maujuda vahi batate chale ki mobaila vani ke dvara hi,pavana bhagata ashoka kesari pavana kesari vijaya mishra udaya lakara pravina mishra mamtu bhagata sahita ganesha mamdira samiti ke sabhi sadasya madhu vahim batate chale ki mobile vani ke dvara hi,0.679,0.15625,0.06796116504854369,
02-17467-01,deepgram,gramvaani,telephony,N/A,मोबाइल वाणी के बेहद लोकप्रिय और ख़ास कार्यक्रम खबरें जरा हट के में आपका स्वागत है,mobile वाणी के बेहद लोकप्रिय और खास कार्यक्रम खबरें जरा हटके में आपका स्वागत है,mobaila vani ke behada lokapriya aura kasa karyakrama khabarem jara hata ke mem apaka svagata hai,mobile vani ke behada lokapriya aura khasa karyakrama khabarem jara hatake mem apaka svagata hai,1.036,0.25,0.041237113402061855,
01-00097-03,deepgram,gramvaani,telephony,N/A,इस मध्य प्रदेश मोबाइल वाणी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं धन्यवाद नमस्कार,इस मध्य प्रदेश मारवाड़ी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं धन्यवाद नमस्कार,isa madhya pradesha mobaila vani ke sabhi sunane vale shrotaom ko aura mere mitrom ko sabhi ko hardika hardika shubhakamanaem dhanyavada namaskara,isa madhya pradesha marava di ke sabhi sunane vale shrotaom ko aura mere mitrom ko sabhi ko hardika hardika shubhakamanaem dhanyavada namaskara,0.742,0.09090909090909091,0.04794520547945205,
02-13426-02,deepgram,gramvaani,telephony,N/A,आँगनबाड़ी सहायिकाओं को पन्द्रह सौ रूपए के स्थान पर बाईस सौ सौ पचास रूपए मिलेंगे और अब ख़बर खेल जगत से कुछ देर में शुरू होगा पाँचवें दिन दिन का खेल शाख बचाने को उतरेगी टीम इंडिया ख़बर है नई दिल्ली से,आंगनबाड़ी psycho को पंद्रह सौ रुपए के स्थान पर बाइस सौ पचास रुपए मिलेंगे और अब खबर खेल जगत से कुछ देर में शुरू होगा पांचवें दिन तीन दिन का खेल सात बजे उतरे की team india खबर है नई दिल्ली से,a nganaba di sahayikaom ko pandraha sau rupae ke sthana para baisa sau sau pachasa rupae milemge aura aba kabara khela jagata se kucha dera mem shuru hoga pa nchavem dina dina ka khela shakha bachane ko utaregi tima imdiya kabara hai nai dilli se,amganaba di psycho ko pamdraha sau rupae ke sthana para baisa sau pachasa rupae milemge aura aba khabara khela jagata se kucha dera mem shuru hoga pamchavem dina tina dina ka khela sata baje utare ki team india khabara hai nai dilli se,0.709,0.35555555555555557,0.16666666666666666,
