file,model,source,condition,locality,reference,hypothesis,latency_s
01-00622-03,whisper,gramvaani,telephony,N/A,जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हमलोग बैठक चलाते हैं तो उसमे बरसात के सीजन में पानी घुस जाता है और धँसने वाला भी है है कहीं बैठक के समय धँस गया तो फिर लोगों की,जो भी है पहले कब पंचेत बवन पुरा ना चुटल चुटल उसमें हम लोग बैटिक चलाते हैं तो उसमें बच्चा का सिजे में पानी गुप जाता है और दस नहीं कहवाला भी है तो यह बैटे समय दस जाएगा तो फिर लोगों की,8.641
01-10039-03,whisper,gramvaani,telephony,N/A,ये खुल गया प्राइस बैंड चार सौ अठारह से चार सौ बाईस रूपए और मिनिमम लोट साइज़ इज़ पैंतीस शेयर रखा गया है आई पी ओ दस अगस्ट तक खुला रहेगा,लिए खुल गया प्राइस बैंक 418 से 422 रुपए और मिनिमम लॉट साइज 35 शेयर रखा गया है आईपीओ 10 अगस्त तक खुला रहेगा,5.302
01-03999-01,whisper,gramvaani,telephony,N/A,की सर्विस लगा पर रोक लगा कर रख दिया गया है पैदल चलने वाले यात्रियों को बहुत दिक्कत होती हैं साथ ही दो पहिये वाहन तथा चार पहिये वाहन के गुजरने में भारी दिक्कतें होती है,"प्रश्निक रुपट लगाकर रख दिया गया है पाइटल चलने वाले याथ्रियों को भी दिक्कते होती है जाथी तो पहिये वहान, पचा चार पहिये वहान के पच जर्मे में आरी दिक्कते होती है",17.384
02-12587-02,whisper,gramvaani,telephony,N/A,से जिससे हमारा जीवन प्रभावित होती है होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर है आपके सामने,जिससे हमारा जीवन प्रभावित होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाजिर हैं आपके सामने,4.369
01-11496-02,whisper,gramvaani,telephony,N/A,अंत में समाचार खेल जगत से एशियाई खेल अंकिता के कांस्य के बाद भारत,पर उसमें समझार खेल जगत से इस याएं खेल अंकीता के कांशे के बाद भारत,23.005
02-12399-02,whisper,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं देश के कौन कौन से किसान मज़दूर यूनियन काफ़ी संख्या में इकठ्ठा होकर सरकार से अपनी माँगों को लेकर दिल्ली के पार्लियामेंट स्ट्रीट में धरना,"नमस्कार, आदाब सरोता हूँ, देश के कौन-कौन से किसान मजदूर यूनियन, काफी संक्या में इगठा होकर सरकार से अपनी मांगो को लेकर, दिल्ली के पारलिया में टिस्टेट में धरना पर पादेंगे,",37.656
01-09796-02,whisper,gramvaani,telephony,N/A,का एलान भारत और इंग्लैंड के बीच नौ अगस्त से लॉर्ड्स में खेले जाने वाले वाले दूसरे टेस्ट मैच के लिए गयी है एक वेस्टर्न टेस्ट में इंग्लैंड ने भारत को इकतीस रन,विश्वाद का एलान भारत व इंग्लैंड के बीचनाओं गच्च लॉट में खेले जाने वाले वाले दूसरे टेस्ट में के लिए में दिगई है एडवेस्टन टेस्ट में इंग्लैंड ने भारत को एक दिसरांत,7.998
01-07562-01,whisper,gramvaani,telephony,N/A,आवश्यक है है किन्तु नियोजित शिक्षको की मामले में न्यूनतम वेतन अठारह हजार लागू नहीं किया गया है जिसके लिए,"अवस्थक है, लेकिन नियोजित सिच्छकों की मामली में नियोंतम वेतन अथ्थारा हजार लागू नहीं किया गया है, जिसके लिए",5.092
01-04320-03,whisper,gramvaani,telephony,N/A,मुंगेर नगर निगम की बदहाली व्यवस्था के कारण शहर वासियों को शुद्ध पेय जल नहीं मिल रहा है नगर निगम के साथ संचालित कस्तुरबा वॉटर वर्क्स,मुंज़ नगर निगम की बदहाली बवस्था के कारण सहारबास्थों को सुद पेजल नहीं मिल रहा है नगर निगम के कारण 47 वाटर वर्ग से,5.63
01-08017-03,whisper,gramvaani,telephony,N/A,के बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में इनका आ आरक्षण मिले और उसका विकास हो आने वाले दिन में,और तेहत्री महला को एक पादर्शी महला को पंचात में इसका आश्रम ले और इसका अधिकात हो।,3.94
01-10457-02,whisper,gramvaani,telephony,N/A,इस देश के कई भाग से हैं जहाँ सिंचाई सुविधा के आभाव मैं बारिश पर निर्भर रहते हैं अगर बारिश समय पर नहीं हुए तो सारा फसल बर्बाद अब ऐसे मैं किसान करे तो क्या करे,इस देश के कई भाग ऐसे हैं जहां अधिकान सिचाय सुविधा के अभाव में खेली बारिस पर निर्भर रहते हैं और अगर बारिस समय पर नहीं हुई तो सारा फसल बरबाद अब ऐसे में किसान करे तो क्या करे,8.045
02-14905-01,whisper,gramvaani,telephony,N/A,श्री पावन भगत अशोक केसरी पवन केसरी विजय मिश्रा उदय लाहाकर प्रवीन मिश्रा मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य मौजुद वही बताते चले की मोबाइल वाणी के द्वारा ही,पवन भगत आशोक केशरी पवन केशरी मिजय मिश्रा उदय लाकार परविन मिश्रा मंतु भगत सहित गनिश मंद्र समिति के सभी सदस्य मदुष वहीं बताते चले कि मोबाइल वानी के द्वारा ही,7.516
02-17467-01,whisper,gramvaani,telephony,N/A,मोबाइल वाणी के बेहद लोकप्रिय और ख़ास कार्यक्रम खबरें जरा हट के में आपका स्वागत है,मोबाइल वानी के बिहत दुख प्रिये और खास कारिकरम खबरे जरा हटके में आपका स्वागत है,3.92
01-00097-03,whisper,gramvaani,telephony,N/A,इस मध्य प्रदेश मोबाइल वाणी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं धन्यवाद नमस्कार,इस मंद प्रदेश मुझे बाद के सली सुनने वाले सुरुताओं को और मेरे मित्रों को तभी को हार्षिक हार्षिक सुप्ताओं ले धन्यवाद नवस्कार,5.907
02-13426-02,whisper,gramvaani,telephony,N/A,आँगनबाड़ी सहायिकाओं को पन्द्रह सौ रूपए के स्थान पर बाईस सौ सौ पचास रूपए मिलेंगे और अब ख़बर खेल जगत से कुछ देर में शुरू होगा पाँचवें दिन दिन का खेल शाख बचाने को उतरेगी टीम इंडिया ख़बर है नई दिल्ली से,आंगन बारी साइकाओ को 1500 रुपए के अस्थान पर 250 रुपए मिलेंगे और अब खबर खेल जगत से कुछ देर में शुरू होगा पांचवे दिन के विदिन का खेल साग बचाने उत्रे की टीम इंडिया खबर है नई दिली से,8.588
02-14654-01,whisper,gramvaani,telephony,N/A,याद है की मनरेगा में लंबित मजदूरी भुगतान नहीं होने के सम्बन्ध में शिकायतें प्राप्त हो रही थी राज्य शासन द्वारा शिकायतों के निराकरण के लिए ग्राम पंचायतों में कलस्टर,ज्याद है कि मन्रिगा में लंबित मजदूरी भुक्ता नहीं होने के सम्मन्द में शिकायते प्राप्त हो रही थी राज शासन द्वारा शिकायतों की निराकरण के लिए ग्राम पंचायतों में कलस्टर विश्वान,8.064
01-03123-03,whisper,gramvaani,telephony,N/A,फ़िलहाल जारी अधिकतम तापमान का ट्रेंड गेहूं और दलहन का  यदि तापमान का रुख ऐसा ही जारी रहा,प्रिजाल जारी अधिक्तम तापमान का ट्रेंट जिहू और दलन की प्रत्मान का रुप ऐसा ही जारी रहा,4.272
02-12354-02,whisper,gramvaani,telephony,N/A,तिलका मांझी भागलपुर विश्वविद्यालय प्रशासन ने बी ए फर्स्ट इयर दो हज़ार सतरह उन्नीस का परीक्षा कार्यक्रम घोषित कर दिया है परीक्षा दूसरी पाली में दो बजे,तिलका मानी भागर पूल इस जाले प्रसासन ने जीज और सियर 2017-19 का परिछा टारिकरम गोशित कर दिया है।,4.331
01-07629-02,whisper,gramvaani,telephony,N/A,और पछताना नहीं पड़ता है बहुत से ऐसे गाँव के विद्यार्थी को मैंने देखा है की कई,और प्रस्ताना में ही पड़ता है बहुत शायद बहुत इजात्र को मैंने देखा है कि परीज,3.824
01-06461-03,whisper,gramvaani,telephony,N/A,मुंगेर प्रखंड क्षेत्र में बिजली के लिए हाहाकार मचा हुआ है चौबीस घंटे में से मात्र आठ से बारह घंटे तक भी बिजली नहीं मिलती है,"मुंगे शक्रण छत्र में देवी के लिए आकार मिचा हुआ है, 24 गंटे मेंचे माथ्रा 8-12 गंटे तक भी दूली नहीं मिलती है।",5.073
13-00159-01,whisper,gramvaani,telephony,N/A,विरोधियों के बीच होने वाले इस मैच की तारीख से नाराज़ है बी सी सी ज है बी सी सी आई ने एशिया कप के कार्यक्रम में भारत और पाकिस्तान के मैच की मैच की तारीख पर आपत्ति जताई है,प्रदियों के बीच होने वाले इस मैच की तारीग से नाराज है BCCI ने एशिया कप के कारिकरम में भारत और पाकिस्तान की मैच की तारीग पर आपती जताई है,6.26
01-03050-02,whisper,gramvaani,telephony,N/A,मैं राजीव कुमार ठाकुर जिला मुंगेर मुंगेर की आवाज़ से बाबा धरमदास मंदिर के निर्माण समिति द्वारा संकल्प दिवस का आयोजन,मैं राजीतुम अठाकुर जिला मुंगेर मुंगेर की अवाज से बावा ध्रंदात मंदिल निर्मान समिती द्वारातंकल दिवत का आयोजन,5.445
01-04208-01,whisper,gramvaani,telephony,N/A,एक राज्य की छवि छवि खराब करने की ही और दूसरी राज्य को अपने शिक्षा व्यवस्था को ज्यादा गंभीरता से लेने के लिए बाध्य करने की करने की बिहार बोर्ड की परीक्षा में अभिभावकों द्वारा खुलेआम नकल कराने की तस्वीर दुनिया भर में चर्चित हुई थी,एक राजी की खरीख करेंगे और दूसरी राजी को अपनी सिक्षा विवसा को ज्यादा गर्विता से लेने के लिए बाद करने की करने की पिहार बोट की परिचा में अगर आपको दोरा खुले आम नकल कराने के एक तक्रिप दुनिया फर्में जैकित हुई थी,9.57
02-21289-01,whisper,gramvaani,telephony,N/A,डेढ़ साल पहले ही हम शादी के बंधन में बंधे है इस घर के इकलौते बेटे होने के नाते बचपन से ही सबके लाड प्यार ने इन्हे बिगाड़ रखा है रखा है सुबह से शाम ये अपने काम पर रहते है,देट साल पहले ही हम शादी के बंधन में बंधे हैं इस घर के एकलोते बेटे होने के नाते बच्पन से ही सबके लाट प्यार ने इन्हें बिगार रखा है सोबा से शाम ये अपने काम पर रहते हैं,7.448
02-13499-02,whisper,gramvaani,telephony,N/A,मोदी सरकार ने आशा कार्यकर्ताओं का भत्ता दो गुना किया प्रधानमंत्री बीमा भी मुफ्त मिलेगा,मोधी सरकार ने आशा कारे करताओं का भत्ता दोगना किया प्रधान मंत्री बीमा भी मुफ्त मिलेगा,4.042
01-06401-03,whisper,gramvaani,telephony,N/A,लगभग तीन तीन सौ की आबादी वाले बरवाडीह गाँव ना एक कुआँ ना तालाब है नहाने के लिए यहाँ के लोगो को करीब डेढ़ किलोमीटर की दूरी तय कर,लगबग तीन सो की आवादी वाले परवादी ना एक कुआना सालाब है। नहाने के लिए यहां के लोगों को करीद देड़ किलो मेटर की दूरी सहे कर।,5.912
01-02125-02,whisper,gramvaani,telephony,N/A,नमस्कार श्रोता मित्रों मेट्रिक की परीक्षा की शुरुआत शांतिपूर्ण तैतालिस परीक्षार्थी अनुपस्थित रहे मैं जेएम रंगीला कोऑर्डिनेटर बोकारो से झारखण्ड मोबाइल वाणी,"नमस्कार शुरूता मित्रों, मैच्छी की परिछा की शुरुआत साम्तिक होने सेतालिब परिछाते अनुपत्वित रहे, मैं जियम रजीला कोडिनेटर बुकारोश शुरूता साम्तिक जारकन मोबाइल वानी",7.806
01-01990-01,whisper,gramvaani,telephony,N/A,लेकिन वहाँ पर नीचे उतारने का भी अभी तक कोई रास्ता नहीं गया है वहाँ पर बहुत झाड़ झुड़ रहता है इसलिए मैं ग्राम वाणी के द्वारा सरकार से अनुरोध करना चाहता हूँ,"लेकिन उस महाचाल नीचे उठाने का अगुत अपने रास्ता नहीं दिया है, वहाँ पर बहुत शार जोड़ आता है, इसलिए मैं जराम वानी के दुआरा सरकार से अनुवोट करना चाहता हूँ।",7.298
01-07043-02,whisper,gramvaani,telephony,N/A,पुनः एक बार सहायता की की जाए धन्य धन्यवाद,कि पुना है एक बार इस सहता की जाए थाने बाद,2.235
01-02028-02,whisper,gramvaani,telephony,N/A,उम्मीदवार होगी जिसे आम जन सामाजिक कार्यकर्ता कम और और राजनीती के रूप में अधिक जानेंगे इसमें कोई शक नहीं मैं राधू राय,उन्हें द्वार होगी जिसे आम जन समाधी कार्यकर्तक कम और राजनीतिक के रूप में अधिक जानेंगे इसमें कोई तक नहीं स्थित्र मिराद हो रहा है,5.763
01-06650-01,whisper,gramvaani,telephony,N/A,डालडा जो होता है उसमे आलू का मिश्रण मिश्रण हो रहा है तेल भी आज कल दोस्तों कोई खास ऑरिजनल नहीं आ रहा है तो आप और आपके परिवार प्लस आप आपके व्यवहारी,डाल्टा जो होता है उसमें आलू का मिश्रू का मिश्रून हो रहा है तेल भी आज काल दोखतों कोई खास औरिजिनल नहीं आ रहा है तो आप और आपके परिवार प्लस आपके व्यवहारी,7.306
02-16456-01,whisper,gramvaani,telephony,N/A,है एक वरिष्ट सरकारी अधिकारी ने बताया कि ये योजनायें सरकारी हो सकती हैं पेंशन बीमा और भविष्य निधि के क्षेत्रों में निजी खिलाडियों का संचालन कर सकती है,"एक वरिश सरकारी अधिकारी ने बताया की ये योजनाई सरकारी हो सकती है पेंसन, बीमा और भविशे नीदी के छेतरों में नीजी खिलाडियों का संचालन कर सकती है",6.391
01-06529-02,whisper,gramvaani,telephony,N/A,मैं ये वन प्रबंधन पदाधिकारी हजारीबाग से ये कहना चाहता हूँ की आप नक्शा पास केंद्र में गड्ढे नाले जहाँ भी हों वहाँ गड्ढा खोद कर के सारे,मैं ये गंतरमंदर पदाविकारी हजारी बाग के में पहरा चाहता हूँ कि आप लक्षा पार्चे अंदर में गड़े नाले जहाँ जिवाओ और जट्ठा खोट करके पारे,6.66
01-10685-03,whisper,gramvaani,telephony,N/A,नया टाइम टेबल लागू किया है रतलाम रेल मंडल पर चलने वाली उनतीस उनतीस गाड़ियों की गति को बढ़ाया गया है है रतलाम मंडल से होकर जाने वाली कुल पैसठ गाड़ियों की,नया टाइम टेबू लागू किया है रतलाम रेल मंडल पर चलने वाली 29 गाड़ियों की गती को बढ़ाया गया है रतलाम मंडल से होकर जाने वाली कुल 65 गाड़ियों के,6.741
01-05003-02,whisper,gramvaani,telephony,N/A,के नेता को कभी अकेले तो कभी संदिग्ध रूप से सत्ता मिला लेकिन जनता की कसौटी पर कोई भी खड़ा नहीं उतर नहीं उतर सका यही सबसे बड़ी चिंता की बात है,प्रदाविक नेता को कभी अकेले तो कभी संजित रुप्षे सक्ता मिला लेकिन जनता की कशोदी पर कोई भी खाला नहीं उतर नहीं उतर सका। यही सच्चे बड़ी तिंता की बात है।,16.961
01-00960-03,whisper,gramvaani,telephony,N/A,की जाती है परन्तु कं पुतना ने जब कृष्ण को अपना दुध पिला रहे थे मारने के लिए तब ही भगवान कृष्ण चमत्कार दिखाया की साथ साथ जो है की उनका,प्रश्न पुत्ना ने जब चिपनों को अपना अपना दूप पिला रहे हैं तो मार में किरके लेता हुए भर्मान की स्टमच्कार दिखाया कि ये साथ साथ जो है कि उनका,6.363
02-12750-02,whisper,gramvaani,telephony,N/A,नमस्कार श्रोताओं मैं सुनिधि लेकर आई हूँ बिहार मोबाइल वाणी पर शाम,नमस्कार शुरुताओं मैं सुनी दी लेकर आई हूँ बिहार मबाइल वाणी पर शामिर पर देखते हैं,4.162
01-08134-02,whisper,gramvaani,telephony,N/A,परीक्षा नौ अगस्त को खबर है नई दिल्ली से रेलवे ने सहायक लोको तकनीशियनों की की छबीस हजार पाँच सौ दो नियुक्तियों के लिए परीक्षा की तारीख नौ,परिछा नौ अगस्त को खबर है नई दिल्ली से रेल्वे ने सहायक लोकों तक निश्यों की तब इस अजार 502 रिक्तियों के लिए परिछा की तारीख नौ,5.895
01-09492-02,whisper,gramvaani,telephony,N/A,की है रूट लाइन व कतार के,की है रूट लाइन वक्तार के,1.517
01-02482-01,whisper,gramvaani,telephony,N/A,जयनगर अनुमंडल क्षेत्र से सुरेश कुमार गुप्ता जयनगर,जैने गर अनुमान लाइक सकते हैं प्रेज मार्गित्ता जैने गर,2.954
02-19405-01,whisper,gramvaani,telephony,N/A,होता ई है कि एस एस जी चूकि महिलाओं का समूह है तो तुम्हारी मेहरारू को,होता यह है कि एसेस जी चुकी महिलाओं का समूह है तो तुम्हारी महरारों को कब जाएगा,3.656
01-06986-01,whisper,gramvaani,telephony,N/A,सब्जियों की दुकाने फलों फलों के ठेले और तरह तरह के ठेलों की यातायात को बाध्य कई जगहों पर सड़क किनारे लोगों ने घर बना लिया हैं उनके लिए सड़क ही आंगन बन जाता हैं,"सबजियों की दुकाने, फलों के फलों के खेले और तरह-तरह के अस्टेनों की अताव को बात करते हैं। कई जगहों पर चलक किनारे लोगों ने घर बना लिया है। उनके लिए चलकी आंगन बन जाता है।",7.726
01-01715-03,whisper,gramvaani,telephony,N/A,ये सुनना मैं बहुत पसंद करता हूँ मेरी जीवन में बदलाव की श्रण आती रहती है इसी के साथ में ये सन्देश देना चाहता हूँ बिहार मोबाइल वाणी के साथ,ये सुनना मैं बहुत प्रसंद करते हूँ मेरी जीवने बदला पिछन आती रहती है इसे के साथ मैं ये संदेश देना चाता हूँ जिहार मुगलवानी के साथ,6.488
01-09945-03,whisper,gramvaani,telephony,N/A,अगर आपके आस पास या आपका क्षेत्रों में भी कुछ ऐसी ही खबरें हैं हैं जो ज़रा हटके हैं हैं तो हमें ज़रूर बताएं अपने मोबाइल में नंबर तीन दबा कर कर और साथ ही इसका,अगर आपके आसपास या आपके क्षेत्रों में भी कुछ ऐसी ही खबरे हैं जो जरा हटके हैं तो हमें जरूर बताएं अपने मुबाइल में नमबर तीन दवा का और साथ ही इसका बताएं।,7.054
01-05555-02,whisper,gramvaani,telephony,N/A,किसानों को यह जानकारी किसान पाठशाला लगाकर उपलब्ध कराई जाए की जानकारी प्रखंड पीसी ने बताया की ये कार्यक्रम  में चलाया जायेगा जिसके लिए चयन की प्रक्रि प्रक्रिया अंतिम चरण उन्होंने बताया की चयनित,जिसकी जानकारी परखंड की सिंह ने बताया कि यह कार्यक्रम भैतों में चराया जाएगा इसके लिए सेहन की पर्चिलिया अंतिर्चर्ण। पिछर उन्हें बताया की चेरिक,16.85
