file,model,source,condition,locality,reference,hypothesis,latency_s
silkboard-rushed,sarvam,self,rushed,Silk Board,silk board junction pe jam hai late ho raha hoon,"सिल्क बोर्ड जंक्शन पे जाम है, लेट हो रहा ना हो।",2.152
bellandur-rushed,sarvam,self,rushed,Bellandur,bellandur mein hoon cab book karo jaldi please,"वेलोंदूर मेन हॉन, क्या बुक कर दो जल्दी प्लीज प्लीज प्लीज प्लीज प्लीज प्लीज।",3.162
sarjapur-whisper,sarvam,self,whisper,Sarjapur,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,"सरजाबूर रोड पे एक पेज ढूंढ रहा हूँ, अफोर्डेबल चाहिए।",2.373
bommanahalli-whisper,sarvam,self,whisper,Bommanahalli,bommanahalli mein rehta hoon kaam ke liye apply karna tha,"वह माली में रहता हूँ, काम के लिए अप्लाई करना था।",2.555
krpuram-whisper,sarvam,self,whisper,KR Puram,kr puram station ke paas hoon koi job hai kya paas mein,"कैपी फार्म स्टेशन के पास हूँ, कोई जॉब है क्या पास में?",2.225
peenya-whisper,sarvam,self,whisper,Peenya,peenya industrial area mein supervisor ka kaam chahiye,पेन या इंटेस्ट्रल एरिया में इन सुपरवाइजर का क्या हम चाहिए?,2.156
yeshwanthpur-whisper,sarvam,self,whisper,Yeshwanthpur,yeshwanthpur se koi factory job milegi kya experience hai,यशवंतपुर से कोई फैक्ट्री जॉब में लेंगे क्या एक्सपीरियंस है ये?,2.131
01-04397-02,sarvam,gramvaani,telephony,N/A,बेईमानी और भ्रस्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलिए माला माल हो रहे हैं,बेईमानी और भ्रष्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलीय मालामाल हो रहे हैं।,2.52
01-01025-03,sarvam,gramvaani,telephony,N/A,कि बच्चे लेने वालों की संख्या अब समय आ गया है इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे कौन जनता है,कि बच्चे लेने वालों की संख्या में अब समय आ गया है कि इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे। कौन जानता है?,2.735
01-09868-01,sarvam,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश से पानी,"नमस्कार, आदाब श्रोताओं। मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ। मानसून की बारिश से पानी।",2.684
01-08600-03,sarvam,gramvaani,telephony,N/A,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,लगाने का विकल्प मिल सकता है। श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है। ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है।,3.316
01-07995-03,sarvam,gramvaani,telephony,N/A,मदिरा नशा जैसी सामाजिक बुराई ने आज हमारे समाज एंव राष्ट्र को एक बड़ी शराब ना केवल लाखों हँसते खेलते परिवारों को रोने पर मजबूर कर दिया,मदूरा लसा जैसी सामाजिक दवाई ने आज हमारे समाज के रमदास को एक बड़ी शराब में केवल लाखों हॉस्पिटल के परिवारों को रोने पर मजदूर कर दिया।,2.595
01-05263-01,sarvam,gramvaani,telephony,N/A,में रहता है आजकल तो लड़की वाले दहेज़ के अलावा लड़की के लड़की के लिए दस से बीस हज़ार,रूप में रहता है। आजकल तो लड़के वाले दहेज के अलावा लड़की के लिए 10 से 20 वर्षों में।,2.381
01-03411-01,sarvam,gramvaani,telephony,N/A,राजू तिवारी आलोक कुमार के अलावे कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,"राजू तिवारी, आलोक कुमार के अलावा कई लोग उपस्थित थे। इसी के साथ मैं शिव नारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडी बोकारो से।",2.89
02-16304-01,sarvam,gramvaani,telephony,N/A,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गए थी थी आज इस नए झारखण्ड में हमारी बारिश होने का,आज देखा जा रहा है कि हमारे धान के खेत धान मरने की स्थिति में हो गई थी। आज एक मुनाई झारखंड में हमारी बारिश होने का।,2.596
01-00703-03,sarvam,gramvaani,telephony,N/A,गठित की है और जाँच चल रही है बावजूद की कोयला का अवैध उत्खनन एवं तस्करी बद्कसूर जारी है सीसीएल ढोरी प्रक्षेत्र के तारणी परियोजना स्थित,गठित की है और जांच चल रही है। बावजूद भी कोयला का अवैध उत्खनन एवं तस्करी बद्ध सूत जारी है। सीसीएल की ढोली पर क्षेत्र के तारवी परियोजना स्थित है।,3.206
01-00666-01,sarvam,gramvaani,telephony,N/A,प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रति पर अपने विचार लिखित रूप से जमा किया मैं राधू राय महुदा धनबाद से,"एक कुशल प्रतिभागी को दिया, मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रतिभागी पर अपने विचार लिखित रूप से जिम्मा किया। मेरे धन्यवाद से धन्यवाद।",2.894
01-01992-01,sarvam,gramvaani,telephony,N/A,करोड़ों रुपया में मिला हुआ है वैसे भी किसी बच्ची के नाम पर दस हजार बीस हजार पच्चीस हजार तीस हजार रुपया तक बाकया हो जाता है,"करोड़ रुपए में किया हुआ है, जैसे कि किसी व्यक्ति के नाम पर दस हज़ार, बीस हज़ार, पच्चीस हज़ार, तीस हज़ार रुपए तक बाक़ाया हो जाता है।",2.903
01-04281-03,sarvam,gramvaani,telephony,N/A,कोई विश्वासनीय खाका है जिसको आप जानते हैं हैं बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाशीष सिंह धन्यवाद,कोई विश्वासीय खाका है जिसको आप जानते हैं? बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाश्री सिंह मनोहर।,2.869
01-04493-02,sarvam,gramvaani,telephony,N/A,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर साहरघाट से राजकिशोर यादव मधवापुर प्रखंड के बलवा गाँव में ग्यारह हजार तार पुपरी की ओर जाने वाली सड़क पर आज सुबह गिर गया है ग्यारह हजार तार गिर जाने से,"नमस्कार, मैं मधुबानी मोबाइल वाणी के लिए मैं मधलापुर तारघाट से राजकिशोर जादा। मधलापुर प्रखंड के बलवा गाँव में 11,000 तार ऊपरी चौरों जाने वाली सड़क पर आज सुबह गिर गया है। 11,000 तार गिर जाने से।",3.326
01-08776-01,sarvam,gramvaani,telephony,N/A,इस कार्य में काफ़ी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सवेर ग्रुप बनाकर झी झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,इस कार्य में काफी संघर्ष का सामना करना पड़ा। अब उन्होंने अर्पन नेचर सेवर ग्रुप बनाकर झील की दोबारा खूबसूरती लाने का बढ़सक प्रयास कर रहे हैं।,3.348
01-10651-02,sarvam,gramvaani,telephony,N/A,की वजह से जनता को परेशान होना पड़ेगा पुलिस मुख्यालय की पहल को नया नंबर अलोट करने का निर्णय लिया,इसकी वजह से जनता को परेशान होना पड़ेगा। पुलिस मुख्यालय की पहल को नया नंबर अलॉट करने का निर्णय लिया।,2.877
01-00622-03,sarvam,gramvaani,telephony,N/A,जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हमलोग बैठक चलाते हैं तो उसमे बरसात के सीजन में पानी घुस जाता है और धँसने वाला भी है है कहीं बैठक के समय धँस गया तो फिर लोगों की,तो जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हम लोग बाइक चलाते हैं तो उसमें वर्षा का सीजन में पानी घुस जाता है और दसने का वाला भी है कहीं बैठे समय दस जाएगा तो फिर लोगों की,2.825
01-10039-03,sarvam,gramvaani,telephony,N/A,ये खुल गया प्राइस बैंड चार सौ अठारह से चार सौ बाईस रूपए और मिनिमम लोट साइज़ इज़ पैंतीस शेयर रखा गया है आई पी ओ दस अगस्ट तक खुला रहेगा,यह खुल गया। प्राइस बैंड 418 से 422 रुपये और मिनिमम लॉट साइज 35 शेयर रखा गया है। आईपीओ 10 अगस्त तक खुला रहेगा।,2.572
01-03999-01,sarvam,gramvaani,telephony,N/A,की सर्विस लगा पर रोक लगा कर रख दिया गया है पैदल चलने वाले यात्रियों को बहुत दिक्कत होती हैं साथ ही दो पहिये वाहन तथा चार पहिये वाहन के गुजरने में भारी दिक्कतें होती है,,0.0
02-12587-02,sarvam,gramvaani,telephony,N/A,से जिससे हमारा जीवन प्रभावित होती है होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर है आपके सामने,,0.0
01-11496-02,sarvam,gramvaani,telephony,N/A,अंत में समाचार खेल जगत से एशियाई खेल अंकिता के कांस्य के बाद भारत,,0.0
02-12399-02,sarvam,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं देश के कौन कौन से किसान मज़दूर यूनियन काफ़ी संख्या में इकठ्ठा होकर सरकार से अपनी माँगों को लेकर दिल्ली के पार्लियामेंट स्ट्रीट में धरना,,0.0
01-09796-02,sarvam,gramvaani,telephony,N/A,का एलान भारत और इंग्लैंड के बीच नौ अगस्त से लॉर्ड्स में खेले जाने वाले वाले दूसरे टेस्ट मैच के लिए गयी है एक वेस्टर्न टेस्ट में इंग्लैंड ने भारत को इकतीस रन,,0.0
01-07562-01,sarvam,gramvaani,telephony,N/A,आवश्यक है है किन्तु नियोजित शिक्षको की मामले में न्यूनतम वेतन अठारह हजार लागू नहीं किया गया है जिसके लिए,"आवश्यक है, है, किंतु नियोजित शिक्षकों के मामले में न्यूनतम वेतन 18,000 लागू नहीं किया गया है, जिसके लिए।",2.653
01-04320-03,sarvam,gramvaani,telephony,N/A,मुंगेर नगर निगम की बदहाली व्यवस्था के कारण शहर वासियों को शुद्ध पेय जल नहीं मिल रहा है नगर निगम के साथ संचालित कस्तुरबा वॉटर वर्क्स,मुंगेर नगर निगम की बदहालत व्यवस्था के कारण शहरवासियों को शुद्ध पेयजल नहीं मिल रहा है। नगर निगम के साथ संचालित सुरवा वाटर बॉक्स।,2.86
01-08017-03,sarvam,gramvaani,telephony,N/A,के बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में इनका आ आरक्षण मिले और उसका विकास हो आने वाले दिन में,"एक बेहतरीन महिला को, एक पारदर्शी महिला को पंचायत में इसका आरक्षण मिले और इसका विकास हो आने वाले दिन में।",2.754
01-10457-02,sarvam,gramvaani,telephony,N/A,इस देश के कई भाग से हैं जहाँ सिंचाई सुविधा के आभाव मैं बारिश पर निर्भर रहते हैं अगर बारिश समय पर नहीं हुए तो सारा फसल बर्बाद अब ऐसे मैं किसान करे तो क्या करे,इस देश के कई भाग ऐसे हैं जहां अधिकांत सिंचाई सुविधा के अभाव में खेल रही बारिश पर निर्भर रहते हैं और अगर बारिश समय पर नहीं हुई तो सारा फसल बर्बाद अब ऐसे में किसान करें तो क्या करें,3.115
02-14905-01,sarvam,gramvaani,telephony,N/A,श्री पावन भगत अशोक केसरी पवन केसरी विजय मिश्रा उदय लाहाकर प्रवीन मिश्रा मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य मौजुद वही बताते चले की मोबाइल वाणी के द्वारा ही,"श्री पवन भगत, अशोक केसरी, पवन केसरी, विजय मिश्रा, उदय लाहकार, प्रवीण मिश्रा, मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य में वहीं बताते चले कि मोबाइल वाणी के द्वारा ही।",3.463
02-17467-01,sarvam,gramvaani,telephony,N/A,मोबाइल वाणी के बेहद लोकप्रिय और ख़ास कार्यक्रम खबरें जरा हट के में आपका स्वागत है,,0.0
01-00097-03,sarvam,gramvaani,telephony,N/A,इस मध्य प्रदेश मोबाइल वाणी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं धन्यवाद नमस्कार,"इस मध्य प्रदेश मोबाइल वाणी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं, धन्यवाद, नमस्कार।",2.685
02-13426-02,sarvam,gramvaani,telephony,N/A,आँगनबाड़ी सहायिकाओं को पन्द्रह सौ रूपए के स्थान पर बाईस सौ सौ पचास रूपए मिलेंगे और अब ख़बर खेल जगत से कुछ देर में शुरू होगा पाँचवें दिन दिन का खेल शाख बचाने को उतरेगी टीम इंडिया ख़बर है नई दिल्ली से,,0.0
02-14654-01,sarvam,gramvaani,telephony,N/A,याद है की मनरेगा में लंबित मजदूरी भुगतान नहीं होने के सम्बन्ध में शिकायतें प्राप्त हो रही थी राज्य शासन द्वारा शिकायतों के निराकरण के लिए ग्राम पंचायतों में कलस्टर,ज्ञात है कि मनरेगा में लंबित मजदूरी भुगतान नहीं होने के संबंध में शिकायतें प्राप्त हो रही थीं। राज्य शासन द्वारा शिकायतों के निराकरण के लिए ग्राम पंचायतों में क्लस्टर।,2.795
01-03123-03,sarvam,gramvaani,telephony,N/A,फ़िलहाल जारी अधिकतम तापमान का ट्रेंड गेहूं और दलहन का  यदि तापमान का रुख ऐसा ही जारी रहा,,0.0
02-12354-02,sarvam,gramvaani,telephony,N/A,तिलका मांझी भागलपुर विश्वविद्यालय प्रशासन ने बी ए फर्स्ट इयर दो हज़ार सतरह उन्नीस का परीक्षा कार्यक्रम घोषित कर दिया है परीक्षा दूसरी पाली में दो बजे,तिलका माही भागरपुर विश्वविद्यालय प्रशासन ने बीएड फर्स्ट ईयर 2017-19 का परीक्षा कार्यक्रम घोषित कर दिया है। परीक्षा दूसरी पाली में 2 बजे।,2.918
01-07629-02,sarvam,gramvaani,telephony,N/A,और पछताना नहीं पड़ता है बहुत से ऐसे गाँव के विद्यार्थी को मैंने देखा है की कई,,0.0
01-06461-03,sarvam,gramvaani,telephony,N/A,मुंगेर प्रखंड क्षेत्र में बिजली के लिए हाहाकार मचा हुआ है चौबीस घंटे में से मात्र आठ से बारह घंटे तक भी बिजली नहीं मिलती है,मुंगेर प्रखंड क्षेत्र में बिजली के लिए हाहाकार मचा हुआ है। चौबीस घंटे में से मात्र आठ से बारह घंटे तक भी बिजली नहीं मिलती है।,2.836
13-00159-01,sarvam,gramvaani,telephony,N/A,विरोधियों के बीच होने वाले इस मैच की तारीख से नाराज़ है बी सी सी ज है बी सी सी आई ने एशिया कप के कार्यक्रम में भारत और पाकिस्तान के मैच की मैच की तारीख पर आपत्ति जताई है,,0.0
01-03050-02,sarvam,gramvaani,telephony,N/A,मैं राजीव कुमार ठाकुर जिला मुंगेर मुंगेर की आवाज़ से बाबा धरमदास मंदिर के निर्माण समिति द्वारा संकल्प दिवस का आयोजन,"मैं राजीव कुमार ठाकुर, जिला मुंगेर, मुंगेर की आवास से, बाबा धर्मदास मंदिर निर्माण समिति द्वारा संकल्प दिवस का आयोजन।",2.628
01-04208-01,sarvam,gramvaani,telephony,N/A,एक राज्य की छवि छवि खराब करने की ही और दूसरी राज्य को अपने शिक्षा व्यवस्था को ज्यादा गंभीरता से लेने के लिए बाध्य करने की करने की बिहार बोर्ड की परीक्षा में अभिभावकों द्वारा खुलेआम नकल कराने की तस्वीर दुनिया भर में चर्चित हुई थी,,0.0
02-21289-01,sarvam,gramvaani,telephony,N/A,डेढ़ साल पहले ही हम शादी के बंधन में बंधे है इस घर के इकलौते बेटे होने के नाते बचपन से ही सबके लाड प्यार ने इन्हे बिगाड़ रखा है रखा है सुबह से शाम ये अपने काम पर रहते है,"डेढ़ साल पहले ही हम शादी के बंधन में बंधे हैं। इस घर के इकलौते बेटे होने के नाते बचपन से ही सबके लाड प्यार ने इन्हें बिगाड़ रखा है। खैर, सुबह से शाम ये अपने काम पर रहते हैं।",3.12
02-13499-02,sarvam,gramvaani,telephony,N/A,मोदी सरकार ने आशा कार्यकर्ताओं का भत्ता दो गुना किया प्रधानमंत्री बीमा भी मुफ्त मिलेगा,,0.0
01-06401-03,sarvam,gramvaani,telephony,N/A,लगभग तीन तीन सौ की आबादी वाले बरवाडीह गाँव ना एक कुआँ ना तालाब है नहाने के लिए यहाँ के लोगो को करीब डेढ़ किलोमीटर की दूरी तय कर,लगभग तीन सौ की आबादी वाले बरवा भी गांव ना एक कुआँ ना तालाब है। नहाने के लिए यहाँ के लोगों को करीब डेढ़ किलोमीटर की दूरी सहकर।,2.758
01-02125-02,sarvam,gramvaani,telephony,N/A,नमस्कार श्रोता मित्रों मेट्रिक की परीक्षा की शुरुआत शांतिपूर्ण तैतालिस परीक्षार्थी अनुपस्थित रहे मैं जेएम रंगीला कोऑर्डिनेटर बोकारो से झारखण्ड मोबाइल वाणी,,0.0
01-01990-01,sarvam,gramvaani,telephony,N/A,लेकिन वहाँ पर नीचे उतारने का भी अभी तक कोई रास्ता नहीं गया है वहाँ पर बहुत झाड़ झुड़ रहता है इसलिए मैं ग्राम वाणी के द्वारा सरकार से अनुरोध करना चाहता हूँ,लेकिन उस महाकार नीचे उतरने का अभी तक कोई रास्ता नहीं गया है। वहाँ पर बहुत झाड़ जरूर रहता है। इसीलिए मैं ग्रामवाणी के द्वारा सरकार से अनुरोध करना चाहता हूँ।,2.762
01-07043-02,sarvam,gramvaani,telephony,N/A,पुनः एक बार सहायता की की जाए धन्य धन्यवाद,,0.0
01-02028-02,sarvam,gramvaani,telephony,N/A,उम्मीदवार होगी जिसे आम जन सामाजिक कार्यकर्ता कम और और राजनीती के रूप में अधिक जानेंगे इसमें कोई शक नहीं मैं राधू राय,उम्मीदवार होगी जिसे आम जन सामाजिक कार्यकर्ता कम और राजनीतिक के रूप में अधिक जानेंगे इसमें कोई शक नहीं शर्त में राधुर है,2.798
01-06650-01,sarvam,gramvaani,telephony,N/A,डालडा जो होता है उसमे आलू का मिश्रण मिश्रण हो रहा है तेल भी आज कल दोस्तों कोई खास ऑरिजनल नहीं आ रहा है तो आप और आपके परिवार प्लस आप आपके व्यवहारी,,0.0
02-16456-01,sarvam,gramvaani,telephony,N/A,है एक वरिष्ट सरकारी अधिकारी ने बताया कि ये योजनायें सरकारी हो सकती हैं पेंशन बीमा और भविष्य निधि के क्षेत्रों में निजी खिलाडियों का संचालन कर सकती है,"एक वरिष्ठ सरकारी अधिकारी ने बताया कि यह योजनाएँ सरकारी हो सकती हैं। पेंशन, बीमा और भविष्य निधि के क्षेत्रों में निजी खिलाड़ियों का संचालन कर सकती हैं।",2.587
01-06529-02,sarvam,gramvaani,telephony,N/A,मैं ये वन प्रबंधन पदाधिकारी हजारीबाग से ये कहना चाहता हूँ की आप नक्शा पास केंद्र में गड्ढे नाले जहाँ भी हों वहाँ गड्ढा खोद कर के सारे,मैं यह वन प्रबंधन पदाधिकारी हजारीबाग से मैं कहना चाहता हूँ कि आप नखरा पार्क केंद्र में गड्ढे नाले जहां भी हो वह गड्ढा खोज कर के पानी।,2.696
01-10685-03,sarvam,gramvaani,telephony,N/A,नया टाइम टेबल लागू किया है रतलाम रेल मंडल पर चलने वाली उनतीस उनतीस गाड़ियों की गति को बढ़ाया गया है है रतलाम मंडल से होकर जाने वाली कुल पैसठ गाड़ियों की,नया टाइम टेबल लागू किया है। रतलाम रेल मंडल पर चलने वाली 29 गाड़ियों की गति को बढ़ाया गया है। रतलाम मंडल से होकर जाने वाली कुल 65 गाड़ियों के,2.833
01-05003-02,sarvam,gramvaani,telephony,N/A,के नेता को कभी अकेले तो कभी संदिग्ध रूप से सत्ता मिला लेकिन जनता की कसौटी पर कोई भी खड़ा नहीं उतर नहीं उतर सका यही सबसे बड़ी चिंता की बात है,"के नेता को कभी अकेले तो कभी संजीवत रूप से सत्ता मिला, लेकिन जनता की कसौती पर कोई भी खरा नहीं उतर सका। यही सबसे बड़ी चिंता की बात है।",2.76
01-00960-03,sarvam,gramvaani,telephony,N/A,की जाती है परन्तु कं पुतना ने जब कृष्ण को अपना दुध पिला रहे थे मारने के लिए तब ही भगवान कृष्ण चमत्कार दिखाया की साथ साथ जो है की उनका,"की जाती है, परंतु भूतना ने जब कृष्ण को अपने अंग से दूध पिला रहे थे मारने के लिए, तभी भगवान कृष्ण के चमत्कार दिखाए के साथ साथ जो है कि उनका।",2.878
02-12750-02,sarvam,gramvaani,telephony,N/A,नमस्कार श्रोताओं मैं सुनिधि लेकर आई हूँ बिहार मोबाइल वाणी पर शाम,"नमस्कार श्रोताओं, मैं सुनिधि लेकर आई हूँ बिहार मोबाइल वाणी पर शाम तक।",2.23
01-08134-02,sarvam,gramvaani,telephony,N/A,परीक्षा नौ अगस्त को खबर है नई दिल्ली से रेलवे ने सहायक लोको तकनीशियनों की की छबीस हजार पाँच सौ दो नियुक्तियों के लिए परीक्षा की तारीख नौ,"परीक्षा 9 अगस्त को खबर है नई दिल्ली से रेलवे ने सहायक लोको तकनीशियनों की 26,502 रिक्तियों के लिए परीक्षा की तारीख 9 अगस्त",2.744
01-09492-02,sarvam,gramvaani,telephony,N/A,की है रूट लाइन व कतार के,की है। रूट लाइन व कतार के,2.019
01-02482-01,sarvam,gramvaani,telephony,N/A,जयनगर अनुमंडल क्षेत्र से सुरेश कुमार गुप्ता जयनगर,"जयनगर अनुमंडल सचिव सुरेश कुमार गुप्ता, जयनगर।",2.037
02-19405-01,sarvam,gramvaani,telephony,N/A,होता ई है कि एस एस जी चूकि महिलाओं का समूह है तो तुम्हारी मेहरारू को,"देखो, होता ये है कि एसएसजी क्योंकि महिलाओं का समूह है, तो तुम्हारी मेहरारू को कम",2.202
01-06986-01,sarvam,gramvaani,telephony,N/A,सब्जियों की दुकाने फलों फलों के ठेले और तरह तरह के ठेलों की यातायात को बाध्य कई जगहों पर सड़क किनारे लोगों ने घर बना लिया हैं उनके लिए सड़क ही आंगन बन जाता हैं,"सब्जियों की दुकानें, फलों के खेले और तरह-तरह के स्टाइलों की यातायात को बाद कई जगहों पर सड़क किनारे लोगों ने घर बना लिया है। उनके लिए सड़क ही आँगन बन जाता है।",2.872
01-01715-03,sarvam,gramvaani,telephony,N/A,ये सुनना मैं बहुत पसंद करता हूँ मेरी जीवन में बदलाव की श्रण आती रहती है इसी के साथ में ये सन्देश देना चाहता हूँ बिहार मोबाइल वाणी के साथ,यह सुनना मैं बहुत पसंद करती हूँ। मेरे जीवन में बदलाव की क्षण आती रहती है। इसी के साथ मैं यह संदेश देना चाहता हूँ कि हर मोबाइल वाणी के साथ।,2.758
01-09945-03,sarvam,gramvaani,telephony,N/A,अगर आपके आस पास या आपका क्षेत्रों में भी कुछ ऐसी ही खबरें हैं हैं जो ज़रा हटके हैं हैं तो हमें ज़रूर बताएं अपने मोबाइल में नंबर तीन दबा कर कर और साथ ही इसका,"अगर आपके आस पास या आपके क्षेत्रों में भी कुछ ऐसी ही खबरें हैं जो ज़रा हटके हैं, तो हमें ज़रूर बताएँ अपने मोबाइल में नंबर 3 दबाकर और साथ ही इसका।",2.893
01-05555-02,sarvam,gramvaani,telephony,N/A,किसानों को यह जानकारी किसान पाठशाला लगाकर उपलब्ध कराई जाए की जानकारी प्रखंड पीसी ने बताया की ये कार्यक्रम  में चलाया जायेगा जिसके लिए चयन की प्रक्रि प्रक्रिया अंतिम चरण उन्होंने बताया की चयनित,किसानों को यह जानकारी किसान पाठशाला लगाकर उपलब्ध कराई गई। इसकी जानकारी प्रखंड की सिंह ने बताया कि यह कार्यक्रम पैटो में चलाया जाएगा। इसके लिए चयन की प्रक्रिया अंतिम चरण। उन्होंने बताया कि चयनिक,2.823
02-15827-01,sarvam,gramvaani,telephony,N/A,सहकारी मुखिया सिकंदर  दिवाकर महतो उमेश कुमार चौबे चौबे मिथिलेश महाराज विनीत जैसवाल सोहेल अंसारी ने,"निधी सहकारी मुखिया सिकंदर कपरदार, दिवाकर महतो, उमेश कुमार चौबे, मोबे मिथिलेश महाराज, विनीत जायसवाल, सोहेल अंसारी ने।",2.57
01-11055-03,sarvam,gramvaani,telephony,N/A,कि कोई भी परेशानी होने पर आम लोग उनसे सीधा संपर्क कर सकते हैं एवं उनका हर मदद किया जाएगा इस कार्यक्रम को लेकर वहाँ उपस्थित लोगों के बीच,कि कोई भी परेशानी होने पर आम लोग उनसे सीधा संपर्क कर सकते हैं एवं उनका हर मदद किया जाएगा। इस कार्यक्रम को लेकर वहां उपस्थित लोगों के बीच।,3.017
01-10891-03,sarvam,gramvaani,telephony,N/A,सरकारी विमान कंपनी एयर इंडिया के पायलटों के  अपने उड़ान भत्तों के बकायें का तत्काल भुगतान नहीं होने पर परिचालन पायलटों का कहना है कि अन्य कर्मचारियों के वेतन और भत्तों का देर से ही सही लेकिन पूरा भुगतान हो रहा हैं,"सरकारी विमान कंपनी एयर इंडिया के पायलटों के एक ने अपने उड़ान भत्तों के बकाया का तत्काल भुगतान नहीं होने पर परिचालन रोक दिया। पायलटों का कहना है कि अन्य कर्मचारियों के वेतन और भत्तों का देर से ही सही, लेकिन पूरा भुगतान हो रहा है।",3.243
